record_type,area_code,sec,sub,icao,runway_id,rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,dthr_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,loc_cat_class,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,P,G,EYKL,RW07,01640,0670,N55424100,E021142100,,00059,0000,40,069,,,S,Simulation application continuation,,,,21523,2509,SEEUP EYKLEYGRW07    1016400670 N55424100E021142100               00059000040069      0000                                 ,SEEUP EYKLEYGRW07    2S                            07200Y        L00059                                                    
S,EEU,P,G,EYKL,RW25,01640,2470,N55424600,E021144800,,00059,0000,40,069,,,S,Simulation application continuation,,,,21525,2509,SEEUP EYKLEYGRW25    1016402470 N55424600E021144800               00059000040069      0000                                 ,SEEUP EYKLEYGRW25    2S                            25200Y        L00059                                                    
S,EEU,P,G,LHNY,RW18R,03281,1750,N47591865,E021413288,+0000,00338,0000,40,066,,,S,Simulation application continuation,,,,25743,2507,SEEUP LHNYLHGRW18R   1032811750 N47591865E021413288+0000    +0143300338000040066      0000                                 ,SEEUP LHNYLHGRW18R   2S                            18132Y        L00338                                                    
S,EEU,P,G,LHNY,RW36L,03281,3550,N47584622,E021413177,+0000,00338,0000,40,066,,,S,Simulation application continuation,,,,25745,2507,SEEUP LHNYLHGRW36L   1032813550 N47584622E021413177+0000    +0143300338000040066      0000                                 ,SEEUP LHNYLHGRW36L   2S                            00132Y        L00338                                                    
S,EEU,P,G,UBLC,RW14,09843,1430,N39534422,E046211435,,05676,0000,50,148,,,S,Simulation application continuation,,,,45632,2507,SEEUP UBLCUBGRW14    1098431430 N39534422E046211435               05676000050148      0000                                 ,SEEUP UBLCUBGRW14    2S                            14899Y        T05701                                                    
S,EEU,P,G,UBLC,RW32,09843,3230,N39522087,E046221936,,05690,0000,50,148,ILN,,S,Simulation application continuation,,,,45634,2507,SEEUP UBLCUBGRW32    1098433230 N39522087E046221936               05690000050148 ILN  0000                                 ,SEEUP UBLCUBGRW32    2S                            32901Y        L05690                                                    
S,EEU,P,G,UCFT,RW10,05853,0950,N42302561,E072151223,,04138,0000,40,115,,,S,Simulation application continuation,,,,46196,2504,SEEUP UCFTUCGRW10    1058530950 N42302561E072151223               04138000040115      0000                                 ,SEEUP UCFTUCGRW10    2S                            10052Y        L04138                                                    
S,EEU,P,G,UCFT,RW28,05853,2750,N42301506,E072162906,,04181,0000,40,115,,,S,Simulation application continuation,,,,46198,2504,SEEUP UCFTUCGRW28    1058532750 N42301506E072162906               04181000040115      0000                                 ,SEEUP UCFTUCGRW28    2S                            28052Y        L04181                                                    
S,EEU,P,G,UCFV,RW04,05810,0410,N41283290,E071431765,,04202,0000,40,115,,,S,Simulation application continuation,,,,46203,2506,SEEUP UCFVUCGRW04    1058100410 N41283290E071431765               04202000040115      0000                                 ,SEEUP UCFVUCGRW04    2S                            04664Y        L04202                                                    
S,EEU,P,G,UCFV,RW22,05810,2210,N41291232,E071441317,,04233,0000,40,115,,,S,Simulation application continuation,,,,46205,2506,SEEUP UCFVUCGRW22    1058102210 N41291232E071441317               04233000040115      0000                                 ,SEEUP UCFVUCGRW22    2S                            22665Y        L04233                                                    
S,EEU,P,G,UCFZ,RW10,06040,1040,N41244663,E074020434,,04156,0000,40,115,,,S,Simulation application continuation,,,,46211,2506,SEEUP UCFZUCGRW10    1060401040 N41244663E074020434               04156000040115      0000                                 ,SEEUP UCFZUCGRW10    2S                            10911Y        L04156                                                    
S,EEU,P,G,UCFZ,RW28,06040,2840,N41242709,E074031922,,04172,0000,40,115,,,S,Simulation application continuation,,,,46213,2506,SEEUP UCFZUCGRW28    1060402840 N41242709E074031922               04172000040115      0000                                 ,SEEUP UCFZUCGRW28    2S                            28912Y        L04172                                                    
S,EEU,P,G,UUDD,RW13C,07776,1340,N55250100,E037545530,-0250,00544,0000,50,174,,,S,Simulation application continuation,,,,07304,2508,SEEUP UUDDUUGRW13C   1077761340 N55250100E037545530-0250          00544000050174      0000                                 ,SEEUP UUDDUUGRW13C   2S                            14564Y        L00544                                                    
S,EEU,P,G,UUDD,RW13L,12467,1340,N55252826,E037544236,-0160,00543,0000,50,197,G13A,,S,Simulation application continuation,,,,07306,2508,SEEUP UUDDUUGRW13L   1124671340 N55252826E037544236-0160          00543000050197 G13A 0000                                 ,SEEUP UUDDUUGRW13L   2S                            14564Y        L00543                                                    
S,EEU,P,G,UUDD,RW13R,11483,1340,N55251582,E037521972,-0540,00592,0000,50,197,IDM,,S,Simulation application continuation,,,,07308,2508,SEEUP UUDDUUGRW13R   1114831340 N55251582E037521972-0540          00592000050197 IDM  0000                                 ,SEEUP UUDDUUGRW13R   2S                            14560Y        L00592                                                    
S,EEU,P,G,UUDD,RW31C,07776,3140,N55235773,E037561131,+0250,00524,0000,50,174,,,S,Simulation application continuation,,,,07310,2508,SEEUP UUDDUUGRW31C   1077763140 N55235773E037561131+0250          00524000050174      0000                                 ,SEEUP UUDDUUGRW31C   2S                            32565Y        L00524                                                    
S,EEU,P,G,UUDD,RW31L,11483,3140,N55234243,E037541206,+0540,00531,0000,57,197,IDO,,S,Simulation application continuation,,,,07312,2508,SEEUP UUDDUUGRW31L   1114833140 N55234243E037541206+0540          00531000057197 IDO  0000                                 ,SEEUP UUDDUUGRW31L   2S                            32563Y        L00531                                                    
S,EEU,P,G,UUDD,RW31R,12467,3140,N55234681,E037564422,+0160,00523,0000,50,197,G31A,,S,Simulation application continuation,,,,07314,2508,SEEUP UUDDUUGRW31R   1124673140 N55234681E037564422+0160          00523000050197 G31A 0000                                 ,SEEUP UUDDUUGRW31R   2S                            32566Y        L00523                                                    
S,EEU,P,G,UZFA,RW04,10820,0410,N40431364,E072170194,,01551,0984,50,148,IAN,,S,Simulation application continuation,,,,22514,2508,SEEUP UZFAUTGRW04    1108200410 N40431364E072170194               01551098450148 IAN  0197                                 ,SEEUP UZFAUTGRW04    2S                            04568Y        L01551                                                    
S,EEU,P,G,UZFA,RW22,10820,2210,N40442154,E072183336,,01568,0000,50,148,,,S,Simulation application continuation,,,,22516,2508,SEEUP UZFAUTGRW22    1108202210 N40442154E072183336               01568000050148      0197                                 ,SEEUP UZFAUTGRW22    2S                            22569Y        L01568                                                    
S,EEU,P,G,UZFF,RW18,09390,1780,N40221648,E071444424,+1360,01924,0000,51,164,IZU,,S,Simulation application continuation,,,,22627,2310,SEEUP UZFFUTGRW18    1093901780 N40221648E071444424+1360          01924000051164 IZU  0184                                 ,SEEUP UZFFUTGRW18    2S                            18325Y        L01924                                                    
S,EEU,P,G,UZFF,RW36,09390,3580,N40204386,E071443737,-1360,02052,0000,50,164,,,S,Simulation application continuation,,,,22629,2310,SEEUP UZFFUTGRW36    1093903580 N40204386E071443737-1360          02052000050164      0164                                 ,SEEUP UZFFUTGRW36    2S                            00325Y        L02052                                                    
S,EEU,P,G,UZFN,RW10,10745,1030,N40592243,E071321821,-1570,01703,0000,50,148,,,S,Simulation application continuation,,,,22819,2510,SEEUP UZFNUTGRW10    1107451030 N40592243E071321821-1570          01703000050148      0197                                 ,SEEUP UZFNUTGRW10    2S                            10854Y        L01703                                                    
S,EEU,P,G,UZFN,RW28,10745,2830,N40584865,E071343102,+1570,01534,0000,52,148,ISA,,S,Simulation application continuation,,,,22821,2510,SEEUP UZFNUTGRW28    1107452830 N40584865E071343102+1570          01534000052148 ISA  0197                                 ,SEEUP UZFNUTGRW28    2S                            28857Y        L01534                                                    
S,EEU,P,G,UZNN,RW15,09865,1480,N42300514,E059365358,,00247,0000,50,148,,,S,Simulation application continuation,,,,23083,2405,SEEUP UZNNUTGRW15    1098651480 N42300514E059365358               00247000050148      0000                                 ,SEEUP UZNNUTGRW15    2S                            15454Y        L00247                                                    
S,EEU,P,G,UZNN,RW33,09865,3280,N42283718,E059375016,+0020,00245,0000,54,148,IZR,,S,Simulation application continuation,,,,23085,2510,SEEUP UZNNUTGRW33    1098653280 N42283718E059375016+0020          00245000054148 IZR  0000                                 ,SEEUP UZNNUTGRW33    2S                            33455Y        L00245                                                    
S,EEU,P,G,UZNU,RW13,09843,1330,N41353423,E060375480,-0010,00319,0000,50,164,,,S,Simulation application continuation,,,,23404,2507,SEEUP UZNUUTGRW13    1098431330 N41353423E060375480-0010          00319000050164      0164                                 ,SEEUP UZNUUTGRW13    2S                            13950Y        L00319                                                    
S,EEU,P,G,UZNU,RW31,09843,3130,N41342028,E060391890,+0010,00318,0000,56,164,INU,,S,Simulation application continuation,,,,23406,2507,SEEUP UZNUUTGRW31    1098433130 N41342028E060391890+0010          00318000056164 INU  0164                                 ,SEEUP UZNUUTGRW31    2S                            31951Y        L00318                                                    
S,EEU,P,G,UZSA,RW07,13123,0720,N40064833,E065085399,+0170,01118,0000,57,148,IHG,,S,Simulation application continuation,,,,23579,2105,SEEUP UZSAUTGRW07    1131230720 N40064833E065085399+0170          01118000057148 IHG  0246                                 ,SEEUP UZSAUTGRW07    2S                            07742Y        L01118                                                    
S,EEU,P,G,UZSA,RW25,13123,2520,N40071654,E065113889,,01140,0000,58,148,INL,,S,Simulation application continuation,,,,23581,2105,SEEUP UZSAUTGRW25    1131232520 N40071654E065113889               01140000058148 INL  0246                                 ,SEEUP UZSAUTGRW25    2S                            25745Y        L01140                                                    
S,EEU,P,G,UZSB,RW01,09843,0050,N39454312,E064284504,+0130,00738,0000,54,148,IUH,,S,Simulation application continuation,,,,23795,2107,SEEUP UZSBUTGRW01    1098430050 N39454312E064284504+0130          00738000054148 IUH  0177                                 ,SEEUP UZSBUTGRW01    2S                            01018Y        L00738                                                    
S,EEU,P,G,UZSB,RW19,09843,1850,N39471890,E064290733,-0130,00751,0000,50,148,,,S,Simulation application continuation,,,,23797,2107,SEEUP UZSBUTGRW19    1098431850 N39471890E064290733-0130          00751000050148      0177                                 ,SEEUP UZSBUTGRW19    2S                            19018Y        L00751                                                    
