record_type,area_code,sec,icao,icao_code,sub,localizer_identifier,ils_category,localizer_frequency,runway_identifier,localizer_latitude,localizer_longitude,localizer_bearing,glide_slope_latitude,glide_slope_longitude,localizer_position,localizer_position_reference,glide_slope_position,localizer_width,glide_slope_angle,station_declination,glide_slope_height_lthr,glide_slope_elevation,supporting_facility_id,supporting_facility_icao,supporting_facility_section,supporting_facility_subsection,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,P,LRBC,LR,I,IBC,2,11070,RW34,N46320750,E026541760,3380,N46304820,E026544280,1003,,0972,0000,300,E0070,54,00590,,,,,S,Simulation application continuation,U  N,,,30044,2509,SEEUP LRBCLRIIBC 2   111070RW34 N46320750E0265417603380N46304820E0265442801003 09720000300E00705400590                     ,SEEUP LRBCLRIIBC 2   2S    U  N                    34500N                              140                                 
S,EEU,P,LRCK,LR,I,ICK,2,11030,RW36,N44225390,E028292800,3590,N44205690,E028291840,1410,,1033,0500,300,E0070,54,00315,,,,,S,Simulation application continuation,U  N,,,31364,2313,SEEUP LRCKLRIICK 2   111030RW36 N44225390E0282928003590N44205690E0282918401410 10330500300E00705400315                     ,SEEUP LRCKLRIICK 2   2S    U  N                    00600N                              140                                 
S,EEU,P,LROD,LR,I,IOD,2,10950,RW19,N47003150,E021535150,1860,N47014950,E021541980,1335,,0972,0000,300,E0060,52,00450,,,,,S,Simulation application continuation,U  N,,,32805,2509,SEEUP LRODLRIIOD 2   110950RW19 N47003150E0215351501860N47014950E0215419801335 09720000300E00605200450                     ,SEEUP LRODLRIIOD 2   2S    U  N                    19200N                              140                                 
S,EEU,P,UBLC,UB,I,ILN,1,10930,RW32,N39534890,E046211070,3230,N39522990,E046220690,0552,,1276,0000,300,E0060,50,05690,,,,,S,Simulation application continuation,U  U,,,45636,2507,SEEUP UBLCUBIILN 1   110930RW32 N39534890E0462110703230N39522990E0462206900552 12760000300E00605005690                     ,SEEUP UBLCUBIILN 1   2S    U  U                    32900N                              140                                 
S,EEU,P,UEEE,UE,I,IMF,2,11170,RW23,N62042690,E129443940,2330,N62061260,E129473900,2852,,0971,0000,300,W0160,51,00325,,,,,S,Simulation application continuation,U  N,,,47532,2305,SEEUP UEEEUEIIMF 2   111170RW23 N62042690E1294439402330N62061260E1294739002852 09710000300W01605100325                     ,SEEUP UEEEUEIIMF 2   2S    U  N                    21700N                              140                                 
S,EEU,P,ULOO,UL,I,INP,1,10890,RW19,N57455410,E028230170,1890,N57472450,E028234850,2311,,1093,0000,300,E0090,53,00206,,,,,S,Simulation application continuation,U  N,,,69314,2506,SEEUP ULOOULIINP 1   110890RW19 N57455410E0282301701890N57472450E0282348502311 10930000300E00905300206                     ,SEEUP ULOOULIINP 1   2S    U  N                    19800N                              140                                 
S,EEU,P,USPP,US,I,IBK,1,11030,RW03,N57553540,E056024070,0300,N57542580,E056001520,1048,,0971,0000,300,E0160,56,00400,,,,,S,Simulation application continuation,U  N,,,97465,2504,SEEUP USPPUSIIBK 1   111030RW03 N57553540E0560240700300N57542580E0560015201048 09710000300E01605600400                     ,SEEUP USPPUSIIBK 1   2S    U  N                    04600N                              140                                 
S,EEU,P,UUWW,UU,I,ITA,2,11150,RW19,N55350490,E037152230,1920,N55363540,E037162360,0743,,0971,0000,300,E0110,51,00640,,,,,S,Simulation application continuation,U  N,,,12189,2013,SEEUP UUWWUUIITA 2   111150RW19 N55350490E0371522301920N55363540E0371623600743 09710000300E01105100640                     ,SEEUP UUWWUUIITA 2   2S    U  N                    20300N                              140                                 
S,EEU,P,UZFA,UT,I,IAN,1,11050,RW04,N40442606,E072183945,0410,N40431803,E072171517,0655,,1033,0000,300,E0050,50,01548,,,,,S,Simulation application continuation,U  N,,,22518,2510,SEEUP UZFAUTIIAN 1   111050RW04 N40442606E0721839450410N40431803E0721715170655 10330000300E00505001548                     ,SEEUP UZFAUTIIAN 1   2S    U  N                    04600N                              140                                 
S,EEU,P,UZFF,UT,I,IZU,1,10970,RW18,N40201672,E071443546,1780,N40220863,E071444909,2740,,0791,0000,300,E0050,51,02100,,,,,S,Simulation application continuation,U  N,,,22631,2310,SEEUP UZFFUTIIZU 1   110970RW18 N40201672E0714435461780N40220863E0714449092740 07910000300E00505102100                     ,SEEUP UZFFUTIIZU 1   2S    U  N                    18300N                              140                                 
S,EEU,P,UZFN,UT,I,ISA,1,11010,RW28,N40592470,E071320995,2830,N40584626,E071341895,0674,,0791,0000,300,E0050,52,01705,,,,,S,Simulation application continuation,U  N,,,22823,2211,SEEUP UZFNUTIISA 1   111010RW28 N40592470E0713209952830N40584626E0713418950674 07910000300E00505201705                     ,SEEUP UZFNUTIISA 1   2S    U  N                    28857Y                              140                                 
