record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,sim_cont_appl_code,sim_cont_appl_label,cont#3_appl_code,cont#3_appl_label,cont#4_appl_code,cont#4_appl_label,cont#5_appl_code,cont#5_appl_label,primary_1_123,sim_cont_1_123,cont#3_1_123,cont#4_1_123,cont#5_1_123
S,EEU,P,,EELM,EE,V,INF,0133905,,C,1,S,N,A,,N58182700,E026411300,E0100,00220,N,,,,,,,,,,00,,,,,TARTU,,,,,,,,,SEEUP EELMEEVINF0133905 C1S  NA N58182700E026411300E010000220N                          00        TARTU                    ,SEEUP EELMEEVINF0133905 C2 N  BY OPERATIONAL REQUIREMENTS                                                                  ,,,
S,EEU,P,,EPDE,EP,V,CLD,0139825,,V,1,,N,A,,N51330400,E021533100,E0060,00394,N,,,,,,,,,,00,,,,,DEBLIN,,,,,,,,,SEEUP EPDEEPVCLD0139825 V1   NA N51330400E021533100E006000394N                          00        DEBLIN                   ,SEEUP EPDEEPVCLD0139825 V2 N  BY NOTAM.                                                                                    ,,,
S,EEU,P,,EPDE,EP,V,GND,0139825,,V,1,,N,A,,N51330400,E021533100,E0060,00394,N,,,,,,,,,,00,,,,,DEBLIN,,,,,,,,,SEEUP EPDEEPVGND0139825 V1   NA N51330400E021533100E006000394N                          00        DEBLIN                   ,SEEUP EPDEEPVGND0139825 V2 N  BY NOTAM                                                                                     ,,,
S,EEU,P,,EPKS,EP,V,GND,0139825,,V,1,,N,A,,N52195500,E016580000,E0050,00276,N,,,,,,,,,,00,,,,,KRZESINY,,,,,,,,,SEEUP EPKSEPVGND0139825 V1   NA N52195500E016580000E005000276N                          00        KRZESINY                 ,SEEUP EPKSEPVGND0139825 V2 H  14070015000507001300                                                                         ,,,
S,EEU,P,,EPKT,EP,V,CLD,0124080,,C,0,,N,A,,N50282700,E019044800,E0060,01008,Y,,,,,,,,,,00,,,,,KATOWICE,,,,,,,,,SEEUP EPKTEPVCLD0124080 C0   NA N50282700E019044800E006001008Y                          00        KATOWICE                 ,,,,
S,EEU,P,,EPLY,EP,V,ATI,0126440,T,C,0,,N,A,,N52001800,E019083800,E0060,00404,Y,,,,,,,,,,00,,,,,,,,,,,,,,SEEUP EPLYEPVATI0126440TC0   NA N52001800E019083800E006000404Y                          00                                 ,,,,
S,EEU,P,,EPLY,EP,V,TWR,0128210,,C,1,,N,A,,N52001800,E019083800,E0060,00404,N,,,,,,,,,,00,,,,,LECZYCA,,,,,,,,,SEEUP EPLYEPVTWR0128210 C1   NA N52001800E019083800E006000404N                          00        LECZYCA                  ,"SEEUP EPLYEPVTWR0128210 C2 N  MON-FRI: H24, SAT-SUN: BY NOTAM.                                                             ",,,
S,EEU,P,,EPMI,EP,V,RDR,0027915,,U,1,M,R,F,,N53234200,E016045800,E0050,00495,N,,,,,,,,,,00,,,,,MIROSLAWIEC PRECISION,,,,,,,,,SEEUP EPMIEPVRDR0027915 U1  MRF N53234200E016045800E005000495N                          00        MIROSLAWIEC PRECISION    ,SEEUP EPMIEPVRDR0027915 U2 N  PPR                                                                                          ,,,
S,EEU,P,,EPNC,EP,V,RDO,0125940,,C,1,,N,A,,N52342600,E020521800,E0060,00375,N,,,,,,,,,,00,,,,,CHRCYNNO,,,,,,,,,SEEUP EPNCEPVRDO0125940 C1   NA N52342600E020521800E006000375N                          00        CHRCYNNO                 ,SEEUP EPNCEPVRDO0125940 C2 N  NO SPECIFIC WORKING HOURS.                                                                   ,,,
S,EEU,P,,EPOK,EP,V,APP,0027815,,U,1,M,R,F,,N54344700,E018310200,E0060,00148,N,,,,,,,,,,00,,,,,OKSYWIE,,,,,,,,,SEEUP EPOKEPVAPP0027815 U1  MRF N54344700E018310200E006000148N                          00        OKSYWIE                  ,SEEUP EPOKEPVAPP0027815 U2 N  BY NOTAM.                                                                                    ,,,
S,EEU,P,,EPOK,EP,V,RDR,0023215,,U,1,M,R,F,,N54344700,E018310200,E0060,00148,N,,,,,,,,,,00,,,,,OKSYWIE PRECISION,,,,,,,,,SEEUP EPOKEPVRDR0023215 U1  MRF N54344700E018310200E006000148N                          00        OKSYWIE PRECISION        ,SEEUP EPOKEPVRDR0023215 U2 N  BY NOTAM.                                                                                    ,,,
S,EEU,P,,EPOK,EP,V,TWR,0036935,,U,1,M,N,F,,N54344700,E018310200,E0060,00148,N,,,,,,,,,,00,,,,,OKSYWIE,,,,,,,,,SEEUP EPOKEPVTWR0036935 U1  MNF N54344700E018310200E006000148N                          00        OKSYWIE                  ,SEEUP EPOKEPVTWR0036935 U2 N  BY NOTAM.                                                                                    ,,,
S,EEU,P,,EPOK,EP,V,TWR,0143025,,V,1,,N,A,,N54344700,E018310200,E0060,00148,N,,,,,,,,,,00,,,,,OKSYWIE,,,,,,,,,SEEUP EPOKEPVTWR0143025 V1   NA N54344700E018310200E006000148N                          00        OKSYWIE                  ,SEEUP EPOKEPVTWR0143025 V2 N  BY NOTAM.                                                                                    ,,,
S,EEU,P,,EPRA,EP,V,GND,0119155,,C,1,M,N,A,,N51232000,E021124200,E0070,00625,N,,,,,,,,,,00,,,,,RADOM,,,,,,,,,SEEUP EPRAEPVGND0119155 C1  MNA N51232000E021124200E007000625N                          00        RADOM                    ,"SEEUP EPRAEPVGND0119155 C2 N  MON, THU 1900-2200Z; TUE, FRI 0700-1400Z & 1700-2000Z & BY NOTAM.                            ",,,
S,EEU,P,,EPRZ,EP,V,OPS,0131590,,C,0,,N,A,,N50063600,E022010800,E0070,00693,Y,,,,,,,,,,00,,,,,RZESZOW HANDLING,,,,,,,,,SEEUP EPRZEPVOPS0131590 C0   NA N50063600E022010800E007000693Y                          00        RZESZOW HANDLING         ,,,,
S,EEU,P,,EPSN,EP,V,RDR,0119660,,C,0,,R,A,,N53472600,E015493500,E0050,00394,Y,,,,,,,,,,00,,,,,SWIDWIN PRECISION,,,,,,,,,SEEUP EPSNEPVRDR0119660 C0   RA N53472600E015493500E005000394Y                          00        SWIDWIN PRECISION        ,,,,
S,EEU,P,,EPWA,EP,V,TWR,0120040,,C,0,S,R,A,,N52095700,E020580200,E0060,00362,Y,,,,,,,,,,00,,,,,OKECIE,,,,,,,,,SEEUP EPWAEPVTWR0120040 C0 S RA N52095700E020580200E006000362Y                          00        OKECIE                   ,,,,
S,EEU,P,,EPWR,EP,V,GND,0121805,,C,1,,N,A,,N51061000,E016530900,E0050,00406,N,,,,,,,,,,00,,,,,WROCLAW,,,,,,,,,SEEUP EPWREPVGND0121805 C1   NA N51061000E016530900E005000406N                          00        WROCLAW                  ,SEEUP EPWREPVGND0121805 C2 T  1706002300                                                                                   ,,,
S,EEU,P,,EYKP,EY,V,RDO,0119655,,C,1,,N,A,,N55552900,E024570900,E0080,00282,N,,,,,,,,,,00,,,,,KUPISKIS,,,,,,,,,SEEUP EYKPEYVRDO0119655 C1   NA N55552900E024570900E008000282N                          00        KUPISKIS                 ,SEEUP EYKPEYVRDO0119655 C2 N  PPR.                                                                                         ,,,
S,EEU,P,,LBBG,LB,V,APP,0125340,,C,0,,R,A,,N42341300,E027305500,E0060,00135,Y,,,,,,,,,,00,,,,,BURGAS,,,,,,,,,SEEUP LBBGLBVAPP0125340 C0   RA N42341300E027305500E006000135Y                          00        BURGAS                   ,,,,
S,EEU,P,,LBBG,LB,V,APP,0126780,,C,0,S,R,A,,N42341300,E027305500,E0060,00135,Y,,,,,,,,,,00,,,,,BURGAS,,,,,,,,,SEEUP LBBGLBVAPP0126780 C0 S RA N42341300E027305500E006000135Y                          00        BURGAS                   ,,,,
S,EEU,P,,LBBG,LB,V,ATI,0128880,T,C,0,,N,A,,N42341300,E027305500,E0060,00135,Y,,,,,,,,,,00,,,,,,,,,,,,,,SEEUP LBBGLBVATI0128880TC0   NA N42341300E027305500E006000135Y                          00                                 ,,,,
S,EEU,P,,LBBG,LB,V,TWR,0119655,,C,0,,N,A,,N42341300,E027305500,E0060,00135,Y,,,,,,,,,,00,,,,,BURGAS,,,,,,,,,SEEUP LBBGLBVTWR0119655 C0   NA N42341300E027305500E006000135Y                          00        BURGAS                   ,,,,
S,EEU,P,,LBBG,LB,V,TWR,0122805,,C,0,S,N,A,,N42341300,E027305500,E0060,00135,Y,,,,,,,,,,00,,,,,BURGAS,,,,,,,,,SEEUP LBBGLBVTWR0122805 C0 S NA N42341300E027305500E006000135Y                          00        BURGAS                   ,,,,
S,EEU,P,,LBPD,LB,V,INF,0130600,,V,1,F R,N,A,,N42414200,E023243000,E0050,01745,N,,,,,,,,,,00,LBSF,LB,P,A,SOFIA,,,,,,,,,SEEUP LBPDLBVINF0130600 V1F RNA N42414200E023243000E005001745N                          00LBSFLBPASOFIA                    ,SEEUP LBPDLBVINF0130600 V2 T  17000R000S                                                                                   ,,,
S,EEU,P,,LBSF,LB,V,CLD,0120200,,V,0,,N,A,,N42414200,E023243000,E0050,01745,Y,,,,,,,,,,00,,,,,SOFIA,,,,,,,,,SEEUP LBSFLBVCLD0120200 V0   NA N42414200E023243000E005001745Y                          00        SOFIA                    ,,,,
S,EEU,P,,LBWN,LB,V,APP,0124230,,C,0,,R,A,,N43135500,E027493100,E0060,00230,Y,,,,,,,,,,00,,,,,VARNA,,,,,,,,,SEEUP LBWNLBVAPP0124230 C0   RA N43135500E027493100E006000230Y                          00        VARNA                    ,,,,
S,EEU,P,,LBWN,LB,V,APP,0128815,,C,0,S,R,A,,N43135500,E027493100,E0060,00230,Y,,,,,,,,,,00,,,,,VARNA,,,,,,,,,SEEUP LBWNLBVAPP0128815 C0 S RA N43135500E027493100E006000230Y                          00        VARNA                    ,,,,
S,EEU,P,,LHNY,LH,V,INF,0119350,,V,0,F R,N,A,,N47262200,E019154300,E0050,00496,Y,,,,,,,,,,00,LHBP,LH,P,A,BUDAPEST INFORMATION EAST,,,,,,,,,SEEUP LHNYLHVINF0119350 V0F RNA N47262200E019154300E005000496Y                          00LHBPLHPABUDAPEST INFORMATION EAST,,,,
S,EEU,P,,LKKV,LK,V,TWR,0119700,,V,1,S,N,A,,N50121100,E012545400,E0050,01989,N,,,,,,,,,,00,,,,,VARY,,,,,,,,,SEEUP LKKVLKVTWR0119700 V1 S NA N50121100E012545400E005001989N                          00        VARY                     ,SEEUP LKKVLKVTWR0119700 V2 T  1707001500                                                                                   ,,,
S,EEU,P,,LKMT,LK,V,TWR,0119700,,V,1,S,N,A,,N49414600,E018063900,E0060,00842,N,,,,,,,,,,00,,,,,MOSNOV,,,,,,,,,SEEUP LKMTLKVTWR0119700 V1 S NA N49414600E018063900E006000842N                          00        MOSNOV                   ,SEEUP LKMTLKVTWR0119700 V2 N  O/R.                                                                                         ,,,
