record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,ils_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,D,,LBPD,LB,,IPD,LB,10990,ITDN,,,IPD,N42034950,E024513760,,00600,0,02,148,WGE,PLOVDIV,S,Simulation application continuation,UN,E0058,00600,73133,2505,SEEUD LBPDLB IPD   LB110990 ITDN                   IPD N42034950E024513760     00600002148WGEPLOVDIV                       ,SEEUD LBPDLB IPD   LB2S    UN                                             E005800600                                       
S,EEU,D,,LROD,LR,,IOD,LR,10950,IT N,,,IOD,N47014930,E021541990,,00500,0,,101,WGE,ORADEA,S,Simulation application continuation,UN,E0061,00500,73217,2509,SEEUD LRODLR IOD   LR110950 IT N                   IOD N47014930E021541990     005000  101WGEORADEA                        ,SEEUD LRODLR IOD   LR2S    UN                                             E006100500                                       
S,EEU,D,,UBLC,UB,,ILN,UB,10930,IT N,,,ILN,N39522990,E046220690,,05690,0,,173,WGE,LACHIN,S,Simulation application continuation,UN,E0064,05690,73363,2507,SEEUD UBLCUB ILN   UB110930 IT N                   ILN N39522990E046220690     056900  173WGELACHIN                        ,SEEUD UBLCUB ILN   UB2S    UN                                             E006405690                                       
S,EEU,D,,UNNT,UN,,IRO,UN,11010,ITDN,,,IRO,N55004207,E082373831,,00368,0,02,303,WGE,TOLMACHEVO,S,Simulation application continuation,UN,E0084,00368,73511,2504,SEEUD UNNTUN IRO   UN111010 ITDN                   IRO N55004207E082373831     00368002303WGETOLMACHEVO                    ,SEEUD UNNTUN IRO   UN2S    UN                                             E008400368                                       
S,EEU,D,,USPP,US,,IBK,US,11030,ITDN,,,IBK,N57542580,E056001520,,00400,0,02,105,WGE,BOLSHOE SAVINO,S,Simulation application continuation,UN,E0162,00400,73621,2504,SEEUD USPPUS IBK   US111030 ITDN                   IBK N57542580E056001520     00400002105WGEBOLSHOE SAVINO                ,SEEUD USPPUS IBK   US2S    UN                                             E016200400                                       
S,EEU,D,,UTDK,UT,,ICG,UT,10810,IT N,,,ICG,N37583560,E069481020,,02221,0,,304,WGE,KULOB,S,Simulation application continuation,UN,E0044,02221,73677,2506,SEEUD UTDKUT ICG   UT110810 IT N                   ICG N37583560E069481020     022210  304WGEKULOB                         ,SEEUD UTDKUT ICG   UT2S    UN                                             E004402221                                       
S,EEU,D,,UWOO,UW,,ILM,UW,10930,ITDN,,,ILM,N51474873,E055280863,,00392,0,02,453,WGE,ORENBURG,S,Simulation application continuation,UN,E0120,00392,73753,2506,SEEUD UWOOUW ILM   UW110930 ITDN                   ILM N51474873E055280863     00392002453WGEORENBURG                      ,SEEUD UWOOUW ILM   UW2S    UN                                             E012000392                                       
S,EEU,D,,UZFA,UT,,IAN,UT,11050,ITDN,,,IAN,N40431803,E072171517,,01548,0,02,141,WGE,ANDIJAN,S,Simulation application continuation,UN,E0050,01548,73775,2510,SEEUD UZFAUT IAN   UT111050 ITDN                   IAN N40431803E072171517     01548002141WGEANDIJAN                       ,SEEUD UZFAUT IAN   UT2S    UN                                             E005001548                                       
S,EEU,D,,UZFF,UT,,IZU,UT,10970,ITDN,,,IZU,N40220863,E071444909,,02100,0,01,151,WGE,FERGANA,S,Simulation application continuation,UN,E0050,02100,73777,2510,SEEUD UZFFUT IZU   UT110970 ITDN                   IZU N40220863E071444909     02100001151WGEFERGANA                       ,SEEUD UZFFUT IZU   UT2S    UN                                             E005002100                                       
S,EEU,D,,UZSA,UT,,IHG,UT,10930,ITDN,,,IHG,N40064592,E065090875,,01200,0,02,,WGE,NAVOI,S,Simulation application continuation,UN,E0056,01200,73779,2212,SEEUD UZSAUT IHG   UT110930 ITDN                   IHG N40064592E065090875     01200002   WGENAVOI                         ,SEEUD UZSAUT IHG   UT2S    UN                                             E005601200                                       
S,EEU,D,,UZSA,UT,,INL,UT,10870,ITDN,,,INL,N40071046,E065112721,,01200,0,02,342,WGE,NAVOI,S,Simulation application continuation,UN,E0056,01200,73781,2212,SEEUD UZSAUT INL   UT110870 ITDN                   INL N40071046E065112721     01200002342WGENAVOI                         ,SEEUD UZSAUT INL   UT2S    UN                                             E005601200                                       
S,EEU,D,,UZSS,UT,,IMZ,UT,10950,ITDN,,,IMZ,N39421393,E066580413,,02200,0,02,,WGE,SAMARKAND,S,Simulation application continuation,UN,E0053,02200,73783,2211,SEEUD UZSSUT IMZ   UT110950 ITDN                   IMZ N39421393E066580413     02200002   WGESAMARKAND                     ,SEEUD UZSSUT IMZ   UT2S    UN                                             E005302200                                       
S,EEU,D,,UZSS,UT,,ISD,UT,11070,ITDN,,,ISD,N39420626,E066594350,,02200,0,02,227,WGE,SAMARKAND,S,Simulation application continuation,UN,E0053,02200,73785,2211,SEEUD UZSSUT ISD   UT111070 ITDN                   ISD N39420626E066594350     02200002227WGESAMARKAND                     ,SEEUD UZSSUT ISD   UT2S    UN                                             E005302200                                       
