record_type,area_code,sec,sub,icao,runway_id,rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,dthr_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,loc_cat_class,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,P,G,EEEI,RW06,09022,0620,N59151987,E024105523,,00065,0000,52,148,IAM,,S,Simulation application continuation,,,,13793,2102,SEEUP EEEIEEGRW06    1090220620 N59151987E024105523               00065000052148 IAM  0492                                 ,SEEUP EEEIEEGRW06    2S                            07063Y        L00065                                                    
S,EEU,P,G,EEEI,RW24,09022,2420,N59154933,E024133903,,00060,0000,51,148,IGO,,S,Simulation application continuation,,,,13795,2102,SEEUP EEEIEEGRW24    1090222420 N59154933E024133903               00060000051148 IGO  0492                                 ,SEEUP EEEIEEGRW24    2S                            25067Y        L00060                                                    
S,EEU,P,G,EEKA,RW14,04987,1390,N58594753,E022492547,,00012,0000,50,098,,,S,Simulation application continuation,,,,13864,2102,SEEUP EEKAEEGRW14    1049871390 N58594753E022492547         +0023600012000050098      0000                                 ,SEEUP EEKAEEGRW14    2S                            14738Y        L00012                                                    
S,EEU,P,G,EEKA,RW32,04987,3190,N58591269,E022500868,,00015,0787,50,098,,,S,Simulation application continuation,,,,13866,2102,SEEUP EEKAEEGRW32    1049873190 N58591269E022500868         +0024500015078750098      0000                                 ,SEEUP EEKAEEGRW32    2S                            32739Y        L00015                                                    
S,EEU,P,G,EEKE,RW05,02621,0510,N58134502,E022302583,,00012,0000,40,098,,,S,Simulation application continuation,,,,13952,2102,SEEUP EEKEEEGRW05    1026210510 N58134502E022302583               00012000040098      0000                                 ,SEEUP EEKEEEGRW05    2S                            05871Y        L00012                                                    
S,EEU,P,G,EEKE,RW17,06562,1720,N58142769,E022303361,,00010,0000,54,098,IWA,,S,Simulation application continuation,,,,13954,2102,SEEUP EEKEEEGRW17    1065621720 N58142769E022303361         +0023500010000054098 IWA  0000                                 ,SEEUP EEKEEEGRW17    2S                            17957Y        T00015                                                    
S,EEU,P,G,EEKE,RW23,02621,2310,N58135843,E022310768,,00006,0000,40,098,,,S,Simulation application continuation,,,,13956,2102,SEEUP EEKEEEGRW23    1026212310 N58135843E022310768               00006000040098      0098                                 ,SEEUP EEKEEEGRW23    2S                            23872Y        L00006                                                    
S,EEU,P,G,EEKE,RW35,06562,3520,N58132305,E022303452,,00008,0000,50,098,,,S,Simulation application continuation,,,,13958,2102,SEEUP EEKEEEGRW35    1065623520 N58132305E022303452         +0022900008000050098      0098                                 ,SEEUP EEKEEEGRW35    2S                            35959Y        L00008                                                    
S,EEU,P,G,EEPU,RW03,06463,0270,N58244866,E024275645,,00029,0000,50,098,,,S,Simulation application continuation,,,,14028,2112,SEEUP EEPUEEGRW03    1064630270 N58244866E024275645         +0028900029000050098      0000                                 ,SEEUP EEPUEEGRW03    2S                            03529Y        L00029                                                    
S,EEU,P,G,EEPU,RW21,06463,2070,N58254063,E024290658,,00047,0000,50,098,,,S,Simulation application continuation,,,,14030,2112,SEEUP EEPUEEGRW21    1064632070 N58254063E024290658         +0034300047000050098      0000                                 ,SEEUP EEPUEEGRW21    2S                            21531Y        L00047                                                    
S,EEU,P,G,EETN,RW08,11417,0810,N59244797,E024483655,,00130,0787,54,148,IIB,,S,Simulation application continuation,,,,14279,2509,SEEUP EETNEEGRW08    1114170810 N59244797E024483655         +0057900130078754148 IIB  0000                                 ,SEEUP EETNEEGRW08    2S                            09027Y        L00130                                                    
S,EEU,P,G,EETN,RW26,11417,2610,N59244742,E024520195,,00135,0000,54,148,ILK,,S,Simulation application continuation,,,,14281,2509,SEEUP EETNEEGRW26    1114172610 N59244742E024520195         +0059300135000054148 ILK  0000                                 ,SEEUP EETNEEGRW26    2S                            27032Y        L00135                                                    
S,EEU,P,G,EETU,RW08,05906,0790,N58182587,E026401726,,00210,0000,50,102,,,S,Simulation application continuation,,,,14434,1913,SEEUP EETUEEGRW08    1059060790 N58182587E026401726         +0083100210000050102      0000                                 ,SEEUP EETUEEGRW08    2S                            08843Y        L00210                                                    
S,EEU,P,G,EETU,RW26,05906,2590,N58182747,E026420776,,00193,0000,54,102,IUM,,S,Simulation application continuation,,,,14436,1913,SEEUP EETUEEGRW26    1059062590 N58182747E026420776         +0077800193000054102 IUM  0000                                 ,SEEUP EETUEEGRW26    2S                            26844Y        T00214                                                    
S,EEU,P,G,EEVU,RW12,01969,1230,N57380500,E026400230,,00271,0000,40,059,,,S,Simulation application continuation,,,,14455,2507,SEEUP EEVUEEGRW12    1019691230 N57380500E026400230               00271000040059      0000                                 ,SEEUP EEVUEEGRW12    2S                            13210Y        A00271                                                    
S,EEU,P,G,EEVU,RW30,01969,3030,N57375200,E026402910,,00271,0000,40,059,,,S,Simulation application continuation,,,,14457,2507,SEEUP EEVUEEGRW30    1019693030 N57375200E026402910               00271000040059      0000                                 ,SEEUP EEVUEEGRW30    2S                            31210Y        A00271                                                    
S,EEU,P,G,EPBC,RW10R,04268,0980,N52161363,E020535249,,00343,0000,40,295,,,S,Simulation application continuation,,,,14465,1804,SEEUP EPBCEPGRW10R   1042680980 N52161363E020535249         +0135600343000040295      0000                                 ,SEEUP EPBCEPGRW10R   2S                            10200Y        L00343                                                    
S,EEU,P,G,EPBC,RW28L,04268,2780,N52160448,E020545947,,00352,0000,40,295,,,S,Simulation application continuation,,,,14467,1804,SEEUP EPBCEPGRW28L   1042682780 N52160448E020545947         +0138400352000040295      0000                                 ,SEEUP EPBCEPGRW28L   2S                            28200Y        L00352                                                    
S,EEU,P,G,EPBK,RW09R,04429,0870,N53060266,E023101117,,00494,1476,40,098,,,S,Simulation application continuation,,,,14475,2006,SEEUP EPBKEPGRW09R   1044290870 N53060266E023101117               00494147640098      0000                                 ,SEEUP EPBKEPGRW09R   2S                            09200Y        L00494                                                    
S,EEU,P,G,EPBK,RW27L,04429,2670,N53060253,E023102085,,00509,2329,40,098,,,S,Simulation application continuation,,,,14477,2006,SEEUP EPBKEPGRW27L   1044292670 N53060253E023102085               00509232940098      0000                                 ,SEEUP EPBKEPGRW27L   2S                            27200Y        L00509                                                    
S,EEU,P,G,EPBO,RW10,04921,1020,N53571100,E017561300,,00468,0000,40,131,,,S,Simulation application continuation,,,,14483,2003,SEEUP EPBOEPGRW10    1049211020 N53571100E017561300               00468000040131      0000                                 ,SEEUP EPBOEPGRW10    2S                            10600Y        L00468                                                    
S,EEU,P,G,EPBO,RW28,04921,2820,N53565700,E017573100,,00464,0000,40,131,,,S,Simulation application continuation,,,,14485,2003,SEEUP EPBOEPGRW28    1049212820 N53565700E017573100               00464000040131      0000                                 ,SEEUP EPBOEPGRW28    2S                            28600Y        L00464                                                    
S,EEU,P,G,EPBY,RW08,08202,0760,N53054289,E017573307,,00237,0000,50,197,,,S,Simulation application continuation,,,,14656,2407,SEEUP EPBYEPGRW08    1082020760 N53054289E017573307         +0103000237000050197      0000                                 ,SEEUP EPBYEPGRW08    2S                            08203Y        L00237                                                    
S,EEU,P,G,EPBY,RW26,08202,2560,N53055409,E017594615,,00234,0000,49,197,BYD,,S,Simulation application continuation,,,,14658,2407,SEEUP EPBYEPGRW26    1082022560 N53055409E017594615         +0102100234000049197 BYD  0000                                 ,SEEUP EPBYEPGRW26    2S                            26206Y        T00235                                                    
S,EEU,P,G,EPCD,RW18L,03346,1840,N51051200,E023262300,,00728,0000,40,098,,,S,Simulation application continuation,,,,14674,2108,SEEUP EPCDEPGRW18L   1033461840 N51051200E023262300               00728000040098      0000                                 ,SEEUP EPCDEPGRW18L   2S                            19100Y        A00728                                                    
S,EEU,P,G,EPCD,RW36R,03346,0040,N51044000,E023261300,,00728,0000,40,098,,,S,Simulation application continuation,,,,14676,2108,SEEUP EPCDEPGRW36R   1033460040 N51044000E023261300               00728000040098      0000                                 ,SEEUP EPCDEPGRW36R   2S                            01100Y        A00728                                                    
