record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,sim_cont_appl_code,sim_cont_appl_label,cont#3_appl_code,cont#3_appl_label,cont#4_appl_code,cont#4_appl_label,cont#5_appl_code,cont#5_appl_label,primary_1_123,sim_cont_1_123,cont#3_1_123,cont#4_1_123,cont#5_1_123
S,EEU,P,,EEEI,EE,V,APP,0127905,,C,0,,R,A,,N59244800,E024495700,E0090,00135,Y,,,,,,,,,,00,,,,,TALLINN,,,,,,,,,SEEUP EEEIEEVAPP0127905 C0   RA N59244800E024495700E009000135Y                          00        TALLINN                  ,,,,
S,EEU,P,,EEEI,EE,V,ATI,0123880,T,C,0,,N,A,,N59154400,E024130700,E0090,00068,Y,,,,,,,,,,00,,,,,,,,,,,,,,SEEUP EEEIEEVATI0123880TC0   NA N59154400E024130700E009000068Y                          00                                 ,,,,
S,EEU,P,,EEEI,EE,V,TWR,0025780,,U,0,,N,F,,N59154400,E024130700,E0090,00068,Y,,,,,,,,,,00,,,,,AMARI,,,,,,,,,SEEUP EEEIEEVTWR0025780 U0   NF N59154400E024130700E009000068Y                          00        AMARI                    ,,,,
S,EEU,P,,EEEI,EE,V,TWR,0122100,,V,0,,N,A,,N59154400,E024130700,E0090,00068,Y,,,,,,,,,,00,,,,,AMARI,,,,,,,,,SEEUP EEEIEEVTWR0122100 V0   NA N59154400E024130700E009000068Y                          00        AMARI                    ,,,,
S,EEU,P,,EEHA,EE,V,RDR,0127905,,C,0,,R,A,,N59244800,E024495700,E0090,00135,Y,,,,,,,,,,00,,,,,TALLINN,,,,,,,,,SEEUP EEHAEEVRDR0127905 C0   RA N59244800E024495700E009000135Y                          00        TALLINN                  ,,,,
S,EEU,P,,EEJI,EE,V,INF,0128980,,C,0,F R,N,A,,N59244800,E024495700,E0090,00135,Y,,,,,,,,,,00,EETN,EE,P,A,TALLINN,,,,,,,,,SEEUP EEJIEEVINF0128980 C0F RNA N59244800E024495700E009000135Y                          00EETNEEPATALLINN                  ,,,,
S,EEU,P,,EEKA,EE,V,INF,0133405,,C,1,S,N,A,,N58592700,E022495100,E0080,00018,N,,,,,,,,,,00,,,,,KARDLA,,,,,,,,,SEEUP EEKAEEVINF0133405 C1S  NA N58592700E022495100E008000018N                          00        KARDLA                   ,SEEUP EEKAEEVINF0133405 C2 T  1504000830151300163006043009000713001630                                                     ,,,
S,EEU,P,,EEKE,EE,V,INF,0118055,,C,1,S,N,A,,N58134800,E022303400,E0080,00015,N,,,,,,,,,,00,,,,,KURESSAARE,,,,,,,,,SEEUP EEKEEEVINF0118055 C1S  NA N58134800E022303400E008000015N                          00        KURESSAARE               ,SEEUP EEKEEEVINF0118055 C2 N  BY OPERATIONAL REQUIREMENTS                                                                  ,,,
S,EEU,P,,EEKU,EE,V,RDO,0135305,,C,1,,N,A,,N58085400,E024000900,E0060,00012,N,,,,,,,,,,00,,,,,KIHNU TRAFFIC,,,,,,,,,SEEUP EEKUEEVRDO0135305 C1   NA N58085400E024000900E006000012N                          00        KIHNU TRAFFIC            ,SEEUP EEKUEEVRDO0135305 C2 N  DURING HOURS OF SCHEDULED OPERATIONS                                                         ,,,
S,EEU,P,,EELM,EE,V,INF,0128980,,C,0,F R,N,A,,N59244800,E024495700,E0090,00135,Y,,,,,,,,,,00,EETN,EE,P,A,TALLINN,,,,,,,,,SEEUP EELMEEVINF0128980 C0F RNA N59244800E024495700E009000135Y                          00EETNEEPATALLINN                  ,,,,
S,EEU,P,,EELM,EE,V,INF,0133905,,C,1,S,N,A,,N58182700,E026411300,E0100,00220,N,,,,,,,,,,00,,,,,TARTU,,,,,,,,,SEEUP EELMEEVINF0133905 C1S  NA N58182700E026411300E010000220N                          00        TARTU                    ,SEEUP EELMEEVINF0133905 C2 N  BY OPERATIONAL REQUIREMENTS                                                                  ,,,
S,EEU,P,,EELU,EE,V,RDR,0127905,,C,0,,R,A,,N59244800,E024495700,E0090,00135,Y,,,,,,,,,,00,,,,,TALLINN,,,,,,,,,SEEUP EELUEEVRDR0127905 C0   RA N59244800E024495700E009000135Y                          00        TALLINN                  ,,,,
S,EEU,P,,EENA,EE,V,INF,0128980,,C,0,F R,N,A,,N59244800,E024495700,E0090,00135,Y,,,,,,,,,,00,EETN,EE,P,A,TALLINN,,,,,,,,,SEEUP EENAEEVINF0128980 C0F RNA N59244800E024495700E009000135Y                          00EETNEEPATALLINN                  ,,,,
S,EEU,P,,EEPU,EE,V,INF,0135305,,C,1,S P,N,A,,N58250800,E024282200,E0080,00047,N,,,,,,,,,,00,,,,,PARNU,,,,,,,,,SEEUP EEPUEEVINF0135305 C1S PNA N58250800E024282200E008000047N                          00        PARNU                    ,SEEUP EEPUEEVINF0135305 C2 N  BY OPERATIONAL REQUIREMENTS                                                                  ,,,
S,EEU,P,,EERA,EE,V,RDO,0131030,,C,1,,N,A,,N58592000,E024431300,E0100,00196,N,,,,,,,,,,00,,,,,RAPLA TRAFFIC,,,,,,,,,SEEUP EERAEEVRDO0131030 C1   NA N58592000E024431300E010000196N                          00        RAPLA TRAFFIC            ,SEEUP EERAEEVRDO0131030 C2 N  NO SPECIFIC WORKING HOURS & 01APR-31OCT SR-SS.                                               ,,,
S,EEU,P,,EERA,EE,V,RDR,0127905,,C,0,,R,A,,N59244800,E024495700,E0090,00135,Y,,,,,,,,,,00,,,,,TALLINN,,,,,,,,,SEEUP EERAEEVRDR0127905 C0   RA N59244800E024495700E009000135Y                          00        TALLINN                  ,,,,
S,EEU,P,,EERD,EE,V,INF,0128980,,C,0,F R,N,A,,N59244800,E024495700,E0090,00135,Y,,,,,,,,,,00,EETN,EE,P,A,TALLINN,,,,,,,,,SEEUP EERDEEVINF0128980 C0F RNA N59244800E024495700E009000135Y                          00EETNEEPATALLINN                  ,,,,
S,EEU,P,,EERI,EE,V,RDO,0118455,,C,1,L,N,A,,N57562300,E026584800,E0100,00329,N,,,,,,,,,,00,,,,,RIDALI,,,,,,,,,SEEUP EERIEEVRDO0118455 C1  LNA N57562300E026584800E010000329N                          00        RIDALI                   ,"SEEUP EERIEEVRDO0118455 C2 N  15 APR - 15 NOV SR-SS, O/T NO SPECIFIC WORKING HOURS                                         ",,,
S,EEU,P,,EERU,EE,V,RDO,0118055,,C,1,,N,A,,N57470800,E023154400,E0090,00010,N,,,,,,,,,,00,,,,,RUHNU,,,,,,,,,SEEUP EERUEEVRDO0118055 C1   NA N57470800E023154400E009000010N                          00        RUHNU                    ,SEEUP EERUEEVRDO0118055 C2 N  BY OPERATIONAL REQUIREMENTS.                                                                 ,,,
S,EEU,P,,EETI,EE,V,RDO,0118030,,C,1,,N,A,,N57570900,E026283200,E0090,00414,N,,,,,,,,,,00,,,,,TOUTSI,,,,,,,,,SEEUP EETIEEVRDO0118030 C1   NA N57570900E026283200E009000414N                          00        TOUTSI                   ,SEEUP EETIEEVRDO0118030 C2 N  15 APR - 15 NOV SR-SS.                                                                       ,,,
S,EEU,P,,EETN,EE,V,ATI,0124880,T,C,0,,N,A,,N59244800,E024495700,E0090,00135,Y,,,,,,,,,,00,,,,,,,,,,,,,,SEEUP EETNEEVATI0124880TC0   NA N59244800E024495700E009000135Y                          00                                 ,,,,
S,EEU,P,,EETN,EE,V,OPS,0121780,,C,0,,N,A,,N59244800,E024495700,E0090,00135,Y,,,,,,,,,,00,,,,,DE-ICING,,,,,,,,,SEEUP EETNEEVOPS0121780 C0   NA N59244800E024495700E009000135Y                          00        DE-ICING                 ,,,,
S,EEU,P,,EETN,EE,V,OPS,0131905,,C,0,,N,A,,N59244800,E024495700,E0090,00135,Y,,,,,,,,,,00,,,,,TALLIN HANDLING,,,,,,,,,SEEUP EETNEEVOPS0131905 C0   NA N59244800E024495700E009000135Y                          00        TALLIN HANDLING          ,,,,
S,EEU,P,,EETN,EE,V,RDR,0127905,,C,0,,R,A,,N59244800,E024495700,E0090,00135,Y,,,,,,,,,,00,,,,,TALLINN,,,,,,,,,SEEUP EETNEEVRDR0127905 C0   RA N59244800E024495700E009000135Y                          00        TALLINN                  ,,,,
S,EEU,P,,EETN,EE,V,TWR,0135905,,C,0,D,R,A,,N59244800,E024495700,E0090,00135,Y,,,,,,,,,,00,,,,,TALLINN,,,,,,,,,SEEUP EETNEEVTWR0135905 C0  DRA N59244800E024495700E009000135Y                          00        TALLINN                  ,,,,
S,EEU,P,,EETS,EE,V,RDR,0127905,,C,0,,R,A,,N59244800,E024495700,E0090,00135,Y,,,,,,,,,,00,,,,,TALLINN,,,,,,,,,SEEUP EETSEEVRDR0127905 C0   RA N59244800E024495700E009000135Y                          00        TALLINN                  ,,,,
S,EEU,P,,EETU,EE,V,ATI,0123130,T,C,0,,N,A,,N58182700,E026411300,E0100,00220,Y,,,,,,,,,,00,,,,,,,,,,,,,,SEEUP EETUEEVATI0123130TC0   NA N58182700E026411300E010000220Y                          00                                 ,,,,
S,EEU,P,,EETU,EE,V,INF,0133905,,C,1,S,N,A,,N58182700,E026411300,E0100,00220,N,,,,,,,,,,00,,,,,TARTU,,,,,,,,,SEEUP EETUEEVINF0133905 C1S  NA N58182700E026411300E010000220N                          00        TARTU                    ,SEEUP EETUEEVINF0133905 C2 N  BY OPERATIONAL REQUIREMENTS                                                                  ,,,
S,EEU,P,,EEVI,EE,V,INF,0128980,,C,0,F R,N,A,,N59244800,E024495700,E0090,00135,Y,,,,,,,,,,00,EETN,EE,P,A,TALLINN,,,,,,,,,SEEUP EEVIEEVINF0128980 C0F RNA N59244800E024495700E009000135Y                          00EETNEEPATALLINN                  ,,,,
S,EEU,P,,EEVI,EE,V,RDO,0119180,,C,1,,N,A,,N58210000,E025293500,E0090,00251,N,,,,,,,,,,00,,,,,VILJANDI,,,,,,,,,SEEUP EEVIEEVRDO0119180 C1   NA N58210000E025293500E009000251N                          00        VILJANDI                 ,SEEUP EEVIEEVRDO0119180 C2 N  16 NOV - 14 APR NO SPECIFIC WORKING HOURS; 15 APR - 15 NOV SR-SS                             ,,,
S,EEU,P,,EEVO,EE,V,INF,0128980,,C,0,F R,N,A,,N59244800,E024495700,E0090,00135,Y,,,,,,,,,,00,EETN,EE,P,A,TALLINN,,,,,,,,,SEEUP EEVOEEVINF0128980 C0F RNA N59244800E024495700E009000135Y                          00EETNEEPATALLINN                  ,,,,
S,EEU,P,,EEVU,EE,V,INF,0128980,,C,0,F R,N,A,,N59244800,E024495700,E0090,00135,Y,,,,,,,,,,00,EETN,EE,P,A,TALLINN,,,,,,,,,SEEUP EEVUEEVINF0128980 C0F RNA N59244800E024495700E009000135Y                          00EETNEEPATALLINN                  ,,,,
S,EEU,P,,EPBA,EP,V,INF,0119275,,V,0,F R,N,A,,N50282700,E019044800,E0060,01008,Y,,,,,,,,,,00,EPKT,EP,P,A,KRAKOW,,,,,,,,,SEEUP EPBAEPVINF0119275 V0F RNA N50282700E019044800E006001008Y                          00EPKTEPPAKRAKOW                   ,,,,
S,EEU,P,,EPBA,EP,V,RDO,0118330,,C,1,,N,A,,N49481800,E019000700,E0060,01334,N,,,,,,,,,,00,,,,,BIELSKO,,,,,,,,,SEEUP EPBAEPVRDO0118330 C1   NA N49481800E019000700E006001334N                          00        BIELSKO                  ,SEEUP EPBAEPVRDO0118330 C2 N  PUBLISHED DAILY BY ATS(AUP).                                                                 ,,,
S,EEU,P,,EPBC,EP,V,INF,0118775,,V,0,F R,N,A,,N53285500,E020561600,E0060,00465,Y,,,,,,,,,,00,EPSY,EP,P,A,WARSAW,,,,,,,,,SEEUP EPBCEPVINF0118775 V0F RNA N53285500E020561600E006000465Y                          00EPSYEPPAWARSAW                   ,,,,
