record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,D,,,,,ADL,UR,11270,VDHW,N43271610,E039574360,,N43271610,E039574360,E0070,00128,2,,226,WGE,SOCHI,S,Simulation application continuation,UN,E0074,00128,71529,2013,SEEUD        ADL   UR111270VDHW N43271610E039574360    N43271610E039574360E0070001282  226WGESOCHI                         ,SEEUD        ADL   UR2S    UN                                             E007400128                                       
S,EEU,D,,,,,AGZ,UA,11360,VDHW,N47555200,E080265900,,N47555200,E080265900,E0060,02200,2,,,WGE,AYAGUZ,S,Simulation application continuation,UY,E0060,02200,71535,1912,SEEUD        AGZ   UA111360VDHW N47555200E080265900    N47555200E080265900E0060022002     WGEAYAGUZ                        ,SEEUD        AGZ   UA2S    UY                                             E006002200                                       
S,EEU,D,,,,,AKB,UA,11340,VDH,N50154830,E057105480,,N50154830,E057105480,E0110,00700,2,,407,WGE,AKTOBE,S,Simulation application continuation,UN,E0110,00700,71539,2102,SEEUD        AKB   UA111340VDH  N50154830E057105480    N50154830E057105480E0110007002  407WGEAKTOBE                        ,SEEUD        AKB   UA2S    UN                                             E011000700                                       
S,EEU,D,,,,,AKD,ZL,11380,VDHW,N32451200,E108554800,,N32451200,E108554800,W0040,01332,2,,552,WGE,ANKANGFUQIANGDONG,S,Simulation application continuation,UN,W0039,01332,71541,2011,SEEUD        AKD   ZL111380VDHW N32451200E108554800    N32451200E108554800W0040013322  552WGEANKANGFUQIANGDONG             ,SEEUD        AKD   ZL2S    UN                                             W003901332                                       
S,EEU,D,,,,,AKS,ZW,11510,VDHW,N41154200,E080170600,,N41154200,E080170600,E0040,03888,2,,,WGE,AKSU,S,Simulation application continuation,UY,E0038,,71543,1607,SEEUD        AKS   ZW111510VDHW N41154200E080170600    N41154200E080170600E0040038882     WGEAKSU                          ,SEEUD        AKS   ZW2S    UY                                             E0038                                            
S,EEU,D,,,,,AKT,UA,11330,VDHW,N43522030,E051035190,,N43522030,E051035190,E0080,00100,2,,482,WGE,AKTAU,S,Simulation application continuation,UN,E0078,00100,71545,2302,SEEUD        AKT   UA111330VDHW N43522030E051035190    N43522030E051035190E0080001002  482WGEAKTAU                         ,SEEUD        AKT   UA2S    UN                                             E007800100                                       
S,EEU,D,,,,,AMI,EE,11530,VTH,N59160180,E024144850,,N59160180,E024144850,E0090,00100,2,,478,WGE,AMARI,S,Simulation application continuation,UN,E0097,00100,71547,2201,SEEUD        AMI   EE111530VTH  N59160180E024144850    N59160180E024144850E0090001002  478WGEAMARI                         ,SEEUD        AMI   EE2S    UN                                             E009700100                                       
S,EEU,D,,,,,AND,UE,11380,VDHW,N62472800,E136511300,,N62472800,E136511300,W0160,00984,2,,503,WGE,TEPLYY KLYUCH,S,Simulation application continuation,UN,W0162,00984,71549,2501,SEEUD        AND   UE111380VDHW N62472800E136511300    N62472800E136511300W0160009842  503WGETEPLYY KLYUCH                 ,SEEUD        AND   UE2S    UN                                             W016200984                                       
S,EEU,D,,,,,AND,ZS,11480,VDHW,N30152400,E121131800,,N30152400,E121131800,W0060,00105,2,,522,WGE,ANDONG,S,Simulation application continuation,UN,W0062,00105,71551,2111,SEEUD        AND   ZS111480VDHW N30152400E121131800    N30152400E121131800W0060001052  522WGEANDONG                        ,SEEUD        AND   ZS2S    UN                                             W006200105                                       
S,EEU,D,,,,,ARD,LR,10900,VDH,N46110270,E021083700,,N46110270,E021083700,E0050,00400,2,,396,WGE,ARAD,S,Simulation application continuation,UU,E0058,,71557,1908,SEEUD        ARD   LR110900VDH  N46110270E021083700    N46110270E021083700E0050004002  396WGEARAD                          ,SEEUD        ARD   LR2S    UU                                             E0058                                            
S,EEU,D,,,,,ARK,UA,11300,VDH,N50190400,E067011800,,N50190400,E067011800,E0100,01300,2,,463,WGE,ARKALYK,S,Simulation application continuation,UN,E0103,01300,71559,2102,SEEUD        ARK   UA111300VDH  N50190400E067011800    N50190400E067011800E0100013002  463WGEARKALYK                       ,SEEUD        ARK   UA2S    UN                                             E010301300                                       
S,EEU,D,,,,,ARL,UA,11360,VDH,N46493200,E061370500,,N46493200,E061370500,E0090,00300,2,,383,WGE,ARALSK,S,Simulation application continuation,UN,E0089,00300,71561,2102,SEEUD        ARL   UA111360VDH  N46493200E061370500    N46493200E061370500E0090003002  383WGEARALSK                        ,SEEUD        ARL   UA2S    UN                                             E008900300                                       
S,EEU,D,,,,,ASB,UT,11450,VDHW,N38001139,E058200800,,N38001139,E058200800,E0050,00700,2,,317,WGE,ASHGABAT,S,Simulation application continuation,UN,E0053,00700,71565,2204,SEEUD        ASB   UT111450VDHW N38001139E058200800    N38001139E058200800E0050007002  317WGEASHGABAT                      ,SEEUD        ASB   UT2S    UN                                             E005300700                                       
S,EEU,D,,,,,AST,UA,11440,VDHW,N51000560,E071260040,,N51000560,E071260040,E0100,01200,2,,,WGE,ASTANA,S,Simulation application continuation,UN,E0099,01200,71569,2212,SEEUD        AST   UA111440VDHW N51000560E071260040    N51000560E071260040E0100012002     WGEASTANA                        ,SEEUD        AST   UA2S    UN                                             E009901200                                       
S,EEU,D,,,,,AST,UR,11610,VDHW,N46165230,E048003300,,N46165230,E048003300,E0090,-0100,2,,597,WGE,ASTRAKHAN,S,Simulation application continuation,UN,E0088,-0100,71571,2403,SEEUD        AST   UR111610VDHW N46165230E048003300    N46165230E048003300E0090-01002  597WGEASTRAKHAN                     ,SEEUD        AST   UR2S    UN                                             E0088-0100                                       
S,EEU,D,,,,,ATA,UA,11640,VDH,N43222940,E077050700,,N43222940,E077050700,E0050,02200,2,,573,WGE,ALMATY,S,Simulation application continuation,UU,E0052,02200,71575,2306,SEEUD        ATA   UA111640VDH  N43222940E077050700    N43222940E077050700E0050022002  573WGEALMATY                        ,SEEUD        ATA   UA2S    UU                                             E005202200                                       
S,EEU,D,,,,,ATR,UA,11230,VDHW,N47083820,E051480540,,N47083820,E051480540,E0090,00001,2,,429,WGE,ATYRAU,S,Simulation application continuation,UN,E0093,00001,71577,1912,SEEUD        ATR   UA111230VDHW N47083820E051480540    N47083820E051480540E0090000012  429WGEATYRAU                        ,SEEUD        ATR   UA2S    UN                                             E009300001                                       
S,EEU,D,,,,,BAK,UB,11500,VDHW,N40251480,E050035030,,N40251480,E050035030,E0060,00100,2,,369,WGE,BAKU,S,Simulation application continuation,UN,E0065,00100,71589,2004,SEEUD        BAK   UB111500VDHW N40251480E050035030    N40251480E050035030E0060001002  369WGEBAKU                          ,SEEUD        BAK   UB2S    UN                                             E006500100                                       
S,EEU,D,,,,,BAN,UN,11180,VDHW,N53222280,E083344370,,N53222280,E083344370,E0070,00787,2,,,WGE,BARNAUL,S,Simulation application continuation,UN,E0071,00787,71591,2402,SEEUD        BAN   UN111180VDHW N53222280E083344370    N53222280E083344370E0070007872     WGEBARNAUL                       ,SEEUD        BAN   UN2S    UN                                             E007100787                                       
S,EEU,D,,,,,BAV,ZB,11730,VDHW,N40332400,E109595400,,N40332400,E109595400,W0050,03343,2,,,WGE,BAOTOU,S,Simulation application continuation,UN,W0056,03343,71595,1807,SEEUD        BAV   ZB111730VDHW N40332400E109595400    N40332400E109595400W0050033432     WGEBAOTOU                        ,SEEUD        BAV   ZB2S    UN                                             W005603343                                       
S,EEU,D,,,,,BCU,LR,10940,VDU,N46303930,E026493200,,N46303930,E026493200,E0070,01800,3,,418,WGE,BACAU,S,Simulation application continuation,UN,E0068,,71599,2509,SEEUD        BCU   LR110940VDU  N46303930E026493200    N46303930E026493200E0070018003  418WGEBACAU                         ,SEEUD        BCU   LR2S    UN                                             E0068                                            
S,EEU,D,,,,,BDB,UI,11260,VDHW,N57522600,E114135600,,N57522600,E114135600,W0100,02067,2,,,WGE,BODAYBO,S,Simulation application continuation,UY,W0111,,71601,1605,SEEUD        BDB   UI111260VDHW N57522600E114135600    N57522600E114135600W0100020672     WGEBODAYBO                       ,SEEUD        BDB   UI2S    UY                                             W0111                                            
S,EEU,D,,,,,BGS,LB,11200,VDHW,N42351380,E027321670,,N42351380,E027321670,E0060,00200,2,,304,WGE,BURGAS,S,Simulation application continuation,UN,E0061,00200,71607,2007,SEEUD        BGS   LB111200VDHW N42351380E027321670    N42351380E027321670E0060002002  304WGEBURGAS                        ,SEEUD        BGS   LB2S    UN                                             E006100200                                       
S,EEU,D,,,,,BGS,UW,11160,VDHW,N55334590,E052050350,,N55334590,E052050350,E0140,00700,2,,450,WGE,BEGISHEVO,S,Simulation application continuation,UN,E0142,00700,71609,2113,SEEUD        BGS   UW111160VDHW N55334590E052050350    N55334590E052050350E0140007002  450WGEBEGISHEVO                     ,SEEUD        BGS   UW2S    UN                                             E014200700                                       
