record_type,area_code,sec,icao,icao_code,sub,localizer_identifier,ils_category,localizer_frequency,runway_identifier,localizer_latitude,localizer_longitude,localizer_bearing,glide_slope_latitude,glide_slope_longitude,localizer_position,localizer_position_reference,glide_slope_position,localizer_width,glide_slope_angle,station_declination,glide_slope_height_lthr,glide_slope_elevation,supporting_facility_id,supporting_facility_icao,supporting_facility_section,supporting_facility_subsection,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123,changed_field_count,changed_fields
S,EEU,P,EPGD,EP,I,IGDA,3,11030,RW29,N54225630,E018264930,2860,N54221780,E018290830,1162,,1215,0500,300,E0070,53,00500,,,,,S,Simulation application continuation,U  N,,,15277,2510,SEEUP EPGDEPIIGDA3   111030RW29 N54225630E0182649302860N54221780E0182908301162 12150500300E00705300500                     ,SEEUP EPGDEPIIGDA3   2S    U  N                    29300N                              140                                 ,5,"localizer_bearing,station_declination,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,EPLL,EP,I,LOD,1,11050,RW25,N51425590,E019220840,2450,N51432480,E019240160,0766,,1276,0000,300,E0060,50,00600,,,,,S,Simulation application continuation,U  N,,,16905,1907,SEEUP EPLLEPILOD 1   111050RW25 N51425590E0192208402450N51432480E0192401600766 12760000300E00605000600                     ,SEEUP EPLLEPILOD 1   2S    U  N                    25100N                              140                                 ,3,"glide_slope_longitude,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,EPWA,EP,I,WAS,2,10990,RW11,N52093820,E020590750,1080,N52101620,E020570590,0365,,1033,0000,300,E0060,53,00400,,,,,S,Simulation application continuation,U  N,,,19723,2108,SEEUP EPWAEPIWAS 2   110990RW11 N52093820E0205907501080N52101620E0205705900365 10330000300E00605300400                     ,SEEUP EPWAEPIWAS 2   2S    U  N                    11400N                              140                                 ,3,"localizer_position,sim_cont_sim_file_record_number,primary_1_123"
S,EEU,P,EYKA,EY,I,IKM,1,10950,RW08,N54575525,E024064906,0780,N54574280,E024040840,0755,,0972,0000,300,E0080,51,00300,,,,,S,Simulation application continuation,U  N,,,21506,2509,SEEUP EYKAEYIIKM 1   110950RW08 N54575525E0240649060780N54574280E0240408400755 09720000300E00805100300                     ,SEEUP EYKAEYIIKM 1   2S    U  N                    08600N                              140                                 ,5,"localizer_latitude,localizer_longitude,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,EYKA,EY,I,ISE,2,10990,RW26,N54574497,E024032154,2580,N54574900,E024060010,0744,,1154,0000,300,E0080,52,00300,,,,,S,Simulation application continuation,U  N,,,21508,2509,SEEUP EYKAEYIISE 2   110990RW26 N54574497E0240321542580N54574900E0240600100744 11540000300E00805200300                     ,SEEUP EYKAEYIISE 2   2S    U  N                    26600Y                              140                                 ,6,"localizer_latitude,localizer_longitude,glide_slope_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,LBPD,LB,I,IPD,1,10990,RW30,N42043470,E024500930,3010,N42034950,E024513760,1004,,1154,0000,300,E0060,53,00604,,,,,S,Simulation application continuation,U  N,,,23616,2505,SEEUP LBPDLBIIPD 1   110990RW30 N42043470E0245009303010N42034950E0245137601004 11540000300E00605300604                     ,SEEUP LBPDLBIIPD 1   2S    U  N                    30700N                              140                                 ,5,"localizer_bearing,station_declination,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,LKCS,LK,I,BW,1,11050,RW27,N48564691,E014241873,2650,N48564309,E014261315,1250,,0851,0500,300,E0050,50,01420,,,,,S,Simulation application continuation,U  U,,,26770,2510,SEEUP LKCSLKIBW  1   111050RW27 N48564691E0142418732650N48564309E0142613151250 08510500300E00505001420                     ,SEEUP LKCSLKIBW  1   2S    U  U                    27000N                              140                                 ,10,"localizer_latitude,localizer_longitude,glide_slope_latitude,glide_slope_longitude,localizer_position,glide_slope_position,glide_slope_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,LKPD,LK,I,PK,1,10935,RW27,N50005090,E015425927,2680,N50004295,E015450668,1103,,0972,0500,300,E0050,49,00783,,,,,S,Simulation application continuation,U  N,,,28177,2505,SEEUP LKPDLKIPK  1   110935RW27 N50005090E0154259272680N50004295E0154506681103 09720500300E00504900783                     ,SEEUP LKPDLKIPK  1   2S    U  N                    27300Y                              140                                 ,5,"localizer_bearing,station_declination,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,UBBB,UB,I,IBA,3,10930,RW35,N40292510,E050034580,3530,N40273850,E050034280,1831,,1094,0000,300,E0060,50,-0013,,,,,S,Simulation application continuation,U  N,,,44411,2507,SEEUP UBBBUBIIBA 3   110930RW35 N40292510E0500345803530N40273850E0500342801831 10940000300E006050-0013                     ,SEEUP UBBBUBIIBA 3   2S    U  N                    35900N                              140                                 ,7,"glide_slope_latitude,glide_slope_longitude,glide_slope_position,glide_slope_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,P,UBBB,UB,I,IBI,3,10950,RW16,N40270380,E050023470,1610,N40291500,E050014690,1820,,1215,0000,300,E0060,55,00010,,,,,S,Simulation application continuation,U  N,,,44413,2004,SEEUP UBBBUBIIBI 3   110950RW16 N40270380E0500234701610N40291500E0500146901820 12150000300E00605500010                     ,SEEUP UBBBUBIIBI 3   2S    U  N                    16700N                              140                                 ,4,"localizer_position,glide_slope_position,sim_cont_sim_file_record_number,primary_1_123"
