record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,sim_cont_appl_code,sim_cont_appl_label,cont#3_appl_code,cont#3_appl_label,cont#4_appl_code,cont#4_appl_label,cont#5_appl_code,cont#5_appl_label,primary_1_123,sim_cont_1_123,cont#3_1_123,cont#4_1_123,cont#5_1_123,changed_field_count,changed_fields
S,EEU,P,,EERU,EE,V,RDO,0118055,,C,1,,N,A,,N57470800,E023154400,E0090,00010,N,,,,,,,,,,00,,,,,RUHNU,,,,,,,,,SEEUP EERUEEVRDO0118055 C1   NA N57470800E023154400E009000010N                          00        RUHNU                    ,SEEUP EERUEEVRDO0118055 C2 N  BY OPERATIONAL REQUIREMENTS.                                                                 ,,,,3,"latitude,longitude,primary_1_123"
S,EEU,P,,EPBA,EP,V,RDO,0118330,,C,1,,N,A,,N49481800,E019000700,E0060,01334,N,,,,,,,,,,00,,,,,BIELSKO,,,,,,,,,SEEUP EPBAEPVRDO0118330 C1   NA N49481800E019000700E006001334N                          00        BIELSKO                  ,SEEUP EPBAEPVRDO0118330 C2 N  PUBLISHED DAILY BY ATS(AUP).                                                                 ,,,,3,"magnetic_variation,facility_elevation,primary_1_123"
S,EEU,P,,EPBO,EP,V,INF,0127150,,V,0,F R,N,A,,N54223900,E018275800,E0070,00488,Y,,,,,,,,,,00,EPGD,EP,P,A,GDANSK,,,,,,,,,SEEUP EPBOEPVINF0127150 V0F RNA N54223900E018275800E007000488Y                          00EPGDEPPAGDANSK                   ,,,,,2,"magnetic_variation,primary_1_123"
S,EEU,P,,EPCE,EP,V,APP,0132430,,C,0,,R,A,,N54245800,E017454800,E0060,00507,Y,,,,,,,,,,00,,,,,CEWICE,,,,,,,,,SEEUP EPCEEPVAPP0132430 C0   RA N54245800E017454800E006000507Y                          00        CEWICE                   ,,,,,3,"communications_frequency,frequency_units,primary_1_123"
S,EEU,P,,EPCE,EP,V,INF,0127150,,V,0,F R,N,A,,N54223900,E018275800,E0070,00488,Y,,,,,,,,,,00,EPGD,EP,P,A,GDANSK,,,,,,,,,SEEUP EPCEEPVINF0127150 V0F RNA N54223900E018275800E007000488Y                          00EPGDEPPAGDANSK                   ,,,,,2,"magnetic_variation,primary_1_123"
S,EEU,P,,EPCE,EP,V,RDR,0121180,,C,0,,R,A,,N54245800,E017454800,E0060,00507,Y,,,,,,,,,,00,,,,,CEWICE PRECISION,,,,,,,,,SEEUP EPCEEPVRDR0121180 C0   RA N54245800E017454800E006000507Y                          00        CEWICE PRECISION         ,,,,,3,"communications_frequency,frequency_units,primary_1_123"
S,EEU,P,,EPCE,EP,V,TWR,0126755,,C,0,,N,A,,N54245800,E017454800,E0060,00507,Y,,,,,,,,,,00,,,,,CEWICE,,,,,,,,,SEEUP EPCEEPVTWR0126755 C0   NA N54245800E017454800E006000507Y                          00        CEWICE                   ,,,,,3,"communications_frequency,frequency_units,primary_1_123"
S,EEU,P,,EPDA,EP,V,APP,0133005,,C,1,,R,A,,N54241700,E016211100,E0060,00010,N,,,,,,,,,,00,,,,,DARLOWO,,,,,,,,,SEEUP EPDAEPVAPP0133005 C1   RA N54241700E016211100E006000010N                          00        DARLOWO                  ,SEEUP EPDAEPVAPP0133005 C2 N  O/R 72H IN ADVANCE.                                                                          ,,,,4,"communications_frequency,frequency_units,primary_1_123,sim_cont_1_123"
S,EEU,P,,EPDA,EP,V,TWR,0129505,,C,0,,N,A,,N54241700,E016211100,E0060,00010,Y,,,,,,,,,,00,,,,,DARLOWO,,,,,,,,,SEEUP EPDAEPVTWR0129505 C0   NA N54241700E016211100E006000010Y                          00        DARLOWO                  ,,,,,3,"communications_frequency,frequency_units,primary_1_123"
S,EEU,P,,EPDE,EP,V,APP,0128255,,C,0,,R,A,,N51330400,E021533100,E0060,00394,Y,,,,,,,,,,00,,,,,DEBLIN,,,,,,,,,SEEUP EPDEEPVAPP0128255 C0   RA N51330400E021533100E006000394Y                          00        DEBLIN                   ,,,,,3,"communications_frequency,frequency_units,primary_1_123"
