record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,ils_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123,changed_field_count,changed_fields
S,EEU,D,,EEEI,EE,,IAM,EE,10870,IT N,,,IAM,N59152650,E024110860,,00100,0,,001,WGE,AMARI,S,Simulation application continuation,UN,E0097,00100,73043,2102,SEEUD EEEIEE IAM   EE110870 IT N                   IAM N59152650E024110860     001000  001WGEAMARI                         ,SEEUD EEEIEE IAM   EE2S    UN                                             E009700100                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EETN,EE,,IIB,EE,10830,ITDN,,,IIB,N59244500,E024485680,,00200,0,02,215,WGE,LENNART MERI,S,Simulation application continuation,UN,E0100,00200,73049,2103,SEEUD EETNEE IIB   EE110830 ITDN                   IIB N59244500E024485680     00200002215WGELENNART MERI                  ,SEEUD EETNEE IIB   EE2S    UN                                             E010000200                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EETN,EE,,ILK,EE,10930,ITDN,,,ILK,N59244360,E024514040,,00200,0,02,263,WGE,LENNART MERI,S,Simulation application continuation,UN,E0100,00200,73051,2504,SEEUD EETNEE ILK   EE110930 ITDN                   ILK N59244360E024514040     00200002263WGELENNART MERI                  ,SEEUD EETNEE ILK   EE2S    UN                                             E010000200                                       ,7,"navaid_class,ils_dme_bias,sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123"
S,EEU,D,,EETU,EE,,IUM,EE,10850,ITDN,,,IUM,N58182370,E026415110,,00300,0,02,320,WGE,TARTU,S,Simulation application continuation,UN,E0102,00300,73053,1913,SEEUD EETUEE IUM   EE110850 ITDN                   IUM N58182370E026415110     00300002320WGETARTU                         ,SEEUD EETUEE IUM   EE2S    UN                                             E010200300                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPCE,EP,,ICE,EP,11130,IT N,,,ICE,N54250170,E017463840,,00506,0,,154,WGE,CEWICE,S,Simulation application continuation,UN,E0065,00506,73057,2503,SEEUD EPCEEP ICE   EP111130 IT N                   ICE N54250170E017463840     005060  154WGECEWICE                        ,SEEUD EPCEEP ICE   EP2S    UN                                             E006500506                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPDE,EP,,IDN,EP,10910,IT N,,,IDN,N51325210,E021541620,,00400,0,,171,WGE,DEBLIN,S,Simulation application continuation,UU,E0070,00400,73059,2406,SEEUD EPDEEP IDN   EP110910 IT N                   IDN N51325210E021541620     004000  171WGEDEBLIN                        ,SEEUD EPDEEP IDN   EP2S    UU                                             E007000400                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPGD,EP,,IGDA,EP,11030,IT N,,,IGDA,N54221780,E018290830,,00500,0,,079,WGE,LECH WALESA,S,Simulation application continuation,UN,E0067,00500,73061,2406,SEEUD EPGDEP IGDA  EP111030 IT N                   IGDAN54221780E018290830     005000  079WGELECH WALESA                   ,SEEUD EPGDEP IGDA  EP2S    UN                                             E006700500                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPKS,EP,,IKS,EP,11190,IT N,,,IKS,N52194490,E016584450,,00274,0,,231,WGE,KRZESINY,S,Simulation application continuation,UN,E0060,00274,73065,2105,SEEUD EPKSEP IKS   EP111190 IT N                   IKS N52194490E016584450     002740  231WGEKRZESINY                      ,SEEUD EPKSEP IKS   EP2S    UN                                             E006000274                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPKT,EP,,IKTO,EP,10990,IT N,,,IKTO,N50283740,E019054280,,01000,0,,123,WGE,PYRZOWICE,S,Simulation application continuation,UU,E0062,01000,73067,2406,SEEUD EPKTEP IKTO  EP110990 IT N                   IKTON50283740E019054280     010000  123WGEPYRZOWICE                     ,SEEUD EPKTEP IKTO  EP2S    UU                                             E006201000                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,EPLB,EP,,ISWI,EP,11195,IT N,,,ISWI,N51143530,E022433430,,00700,0,,,WGE,LUBLIN,S,Simulation application continuation,UN,E0071,00700,73069,2406,SEEUD EPLBEP ISWI  EP111195 IT N                   ISWIN51143530E022433430     007000     WGELUBLIN                        ,SEEUD EPLBEP ISWI  EP2S    UN                                             E007100700                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
