record_type,area_code,sec,sub,icao,runway_id,rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,dthr_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,loc_cat_class,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,P,G,EYKL,RW07R,01640,0670,N55424100,E021142100,,00059,0000,40,069,,,S,Simulation application continuation,,,,21096,2001,SEEUP EYKLEYGRW07R   1016400670 N55424100E021142100               00059000040069      0000                                 ,SEEUP EYKLEYGRW07R   2S                            07200Y        L00059                                                    
S,EEU,P,G,EYKL,RW25L,01640,2470,N55424600,E021144800,,00059,0000,40,069,,,S,Simulation application continuation,,,,21098,2001,SEEUP EYKLEYGRW25L   1016402470 N55424600E021144800               00059000040069      0000                                 ,SEEUP EYKLEYGRW25L   2S                            25200Y        L00059                                                    
S,EEU,P,G,LHNY,RW18,03281,1750,N47591865,E021413288,,00338,0000,40,066,,,S,Simulation application continuation,,,,25276,2203,SEEUP LHNYLHGRW18    1032811750 N47591865E021413288         +0143300338000040066      0000                                 ,SEEUP LHNYLHGRW18    2S                            18132Y        L00338                                                    
S,EEU,P,G,LHNY,RW36,03281,3550,N47584622,E021413177,,00338,0000,40,066,,,S,Simulation application continuation,,,,25278,2203,SEEUP LHNYLHGRW36    1032813550 N47584622E021413177         +0143300338000040066      0000                                 ,SEEUP LHNYLHGRW36    2S                            00132Y        L00338                                                    
S,EEU,P,G,URKG,RW01,10171,0070,N44340656,E038002957,,00090,0000,54,148,IGN,,S,Simulation application continuation,,,,80982,2309,SEEUP URKGURGRW01    1101710070 N44340656E038002957               00090000054148 IGN  0000                                 ,SEEUP URKGURGRW01    2S                            01410Y        T00110                                                    
S,EEU,P,G,URKG,RW19,10171,1870,N44354396,E038010383,,00131,0000,50,148,,,S,Simulation application continuation,,,,80984,2309,SEEUP URKGURGRW19    1101711870 N44354396E038010383               00131000050148      0000                                 ,SEEUP URKGURGRW19    2S                            19411Y        L00131                                                    
S,EEU,P,G,UTFA,RW04,09793,0410,N40430332,E072164752,,01543,0000,47,144,IAN,,S,Simulation application continuation,,,,03126,1907,SEEUP UTFAUTGRW04    1097930410 N40430332E072164752               01543000047144 IAN  0164                                 ,SEEUP UTFAUTGRW04    2S                            04568Y        L01543                                                    
S,EEU,P,G,UTFA,RW22,09793,2210,N40441085,E072181851,,01559,0000,50,144,,,S,Simulation application continuation,,,,03128,1701,SEEUP UTFAUTGRW22    1097932210 N40441085E072181851               01559000050144      0164                                 ,SEEUP UTFAUTGRW22    2S                            22568Y        L01559                                                    
S,EEU,P,G,UTFF,RW18,09390,1780,N40221648,E071444424,+1360,01924,0000,51,164,IZU,,S,Simulation application continuation,,,,03247,2310,SEEUP UTFFUTGRW18    1093901780 N40221648E071444424+1360          01924000051164 IZU  0184                                 ,SEEUP UTFFUTGRW18    2S                            18325Y        L01924                                                    
S,EEU,P,G,UTFF,RW36,09390,3580,N40204386,E071443737,-1360,02052,0000,50,164,,,S,Simulation application continuation,,,,03249,2310,SEEUP UTFFUTGRW36    1093903580 N40204386E071443737-1360          02052000050164      0164                                 ,SEEUP UTFFUTGRW36    2S                            00325Y        L02052                                                    
S,EEU,P,G,UTFN,RW10,10745,1030,N40592243,E071321821,-1570,01703,0000,50,148,,,S,Simulation application continuation,,,,03437,2211,SEEUP UTFNUTGRW10    1107451030 N40592243E071321821-1570          01703000050148      0197                                 ,SEEUP UTFNUTGRW10    2S                            10854Y        L01703                                                    
S,EEU,P,G,UTFN,RW28,10745,2830,N40584865,E071343102,+1570,01534,0000,52,148,ISA,,S,Simulation application continuation,,,,03439,2211,SEEUP UTFNUTGRW28    1107452830 N40584865E071343102+1570          01534000052148 ISA  0197                                 ,SEEUP UTFNUTGRW28    2S                            28857Y        L01534                                                    
S,EEU,P,G,UTNN,RW15,09865,1480,N42300514,E059365358,,00247,0000,50,148,,,S,Simulation application continuation,,,,03666,2405,SEEUP UTNNUTGRW15    1098651480 N42300514E059365358               00247000050148      0000                                 ,SEEUP UTNNUTGRW15    2S                            15454Y        L00247                                                    
S,EEU,P,G,UTNN,RW33,09865,3280,N42283718,E059375016,+0020,00245,0000,56,148,IZR,,S,Simulation application continuation,,,,03668,2405,SEEUP UTNNUTGRW33    1098653280 N42283718E059375016+0020          00245000056148 IZR  0000                                 ,SEEUP UTNNUTGRW33    2S                            33455Y        L00245                                                    
S,EEU,P,G,UTNU,RW13,09843,1330,N41353440,E060375481,,00320,0000,50,164,,,S,Simulation application continuation,,,,03859,2013,SEEUP UTNUUTGRW13    1098431330 N41353440E060375481               00320000050164      0164                                 ,SEEUP UTNUUTGRW13    2S                            13952Y        L00320                                                    
S,EEU,P,G,UTNU,RW31,09843,3130,N41342042,E060391887,+0010,00319,0000,54,164,INU,,S,Simulation application continuation,,,,03861,2013,SEEUP UTNUUTGRW31    1098433130 N41342042E060391887+0010          00319000054164 INU  0164                                 ,SEEUP UTNUUTGRW31    2S                            31954Y        L00319                                                    
S,EEU,P,G,UTSA,RW07,13123,0720,N40064833,E065085399,+0170,01118,0000,57,148,IHG,,S,Simulation application continuation,,,,04033,2105,SEEUP UTSAUTGRW07    1131230720 N40064833E065085399+0170          01118000057148 IHG  0246                                 ,SEEUP UTSAUTGRW07    2S                            07742Y        L01118                                                    
S,EEU,P,G,UTSA,RW25,13123,2520,N40071654,E065113889,,01140,0000,58,148,INL,,S,Simulation application continuation,,,,04035,2105,SEEUP UTSAUTGRW25    1131232520 N40071654E065113889               01140000058148 INL  0246                                 ,SEEUP UTSAUTGRW25    2S                            25745Y        L01140                                                    
S,EEU,P,G,UTSB,RW01,09843,0050,N39454312,E064284504,+0130,00738,0000,54,148,IUH,,S,Simulation application continuation,,,,04248,2107,SEEUP UTSBUTGRW01    1098430050 N39454312E064284504+0130          00738000054148 IUH  0177                                 ,SEEUP UTSBUTGRW01    2S                            01018Y        L00738                                                    
S,EEU,P,G,UTSB,RW19,09843,1850,N39471890,E064290733,-0130,00751,0000,50,148,,,S,Simulation application continuation,,,,04250,2107,SEEUP UTSBUTGRW19    1098431850 N39471890E064290733-0130          00751000050148      0177                                 ,SEEUP UTSBUTGRW19    2S                            19018Y        L00751                                                    
S,EEU,P,G,UTSK,RW16,09268,1590,N38485234,E065460716,,01229,0000,56,148,IJP,,S,Simulation application continuation,,,,04369,2405,SEEUP UTSKUTGRW16    1092681590 N38485234E065460716               01229000056148 IJP  0000                                 ,SEEUP UTSKUTGRW16    2S                            16392Y        L01229                                                    
S,EEU,P,G,UTSK,RW34,09268,3390,N38472820,E065463816,+0100,01219,0410,50,148,,,S,Simulation application continuation,,,,04371,2405,SEEUP UTSKUTGRW34    1092683390 N38472820E065463816+0100          01219041050148      0000                                 ,SEEUP UTSKUTGRW34    2S                            34392Y        L01219                                                    
S,EEU,P,G,UTSS,RW09,10187,0910,N39421095,E066575195,,02176,0000,53,148,IMZ,,S,Simulation application continuation,,,,04552,2202,SEEUP UTSSUTGRW09    1101870910 N39421095E066575195               02176000053148 IMZ  0197                                 ,SEEUP UTSSUTGRW09    2S                            09569Y        L02176                                                    
S,EEU,P,G,UTSS,RW27,10187,2710,N39420133,E066595662,,02221,0394,51,148,ISD,,S,Simulation application continuation,,,,04554,2202,SEEUP UTSSUTGRW27    1101872710 N39420133E066595662               02221039451148 ISD  0197                                 ,SEEUP UTSSUTGRW27    2S                            27572Y        L02221                                                    
