record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,sim_cont_appl_code,sim_cont_appl_label,cont#3_appl_code,cont#3_appl_label,cont#4_appl_code,cont#4_appl_label,cont#5_appl_code,cont#5_appl_label,primary_1_123,sim_cont_1_123,cont#3_1_123,cont#4_1_123,cont#5_1_123
S,EEU,P,,EPDE,EP,V,CLD,0121750,,V,1,,N,A,,N51330400,E021533100,E0060,00394,N,,,,,,,,,,00,,,,,DEBLIN,,,,,,,,,SEEUP EPDEEPVCLD0121750 V1   NA N51330400E021533100E006000394N                          00        DEBLIN                   ,SEEUP EPDEEPVCLD0121750 V2 N  BY NOTAM.                                                                                    ,,,
S,EEU,P,,EPDE,EP,V,GND,0121750,,V,1,,N,A,,N51330400,E021533100,E0060,00394,N,,,,,,,,,,00,,,,,DEBLIN,,,,,,,,,SEEUP EPDEEPVGND0121750 V1   NA N51330400E021533100E006000394N                          00        DEBLIN                   ,SEEUP EPDEEPVGND0121750 V2 N  BY NOTAM                                                                                     ,,,
S,EEU,P,,EPKS,EP,V,GND,0121750,,V,1,,N,A,,N52195500,E016580000,E0050,00276,N,,,,,,,,,,00,,,,,KRZESINY,,,,,,,,,SEEUP EPKSEPVGND0121750 V1   NA N52195500E016580000E005000276N                          00        KRZESINY                 ,SEEUP EPKSEPVGND0121750 V2 H  14070015000507001300                                                                         ,,,
S,EEU,P,,EPLU,EP,V,INF,0126300,,V,0,FSR,N,A,,N51061000,E016530900,E0050,00406,Y,,,,,,,,,,00,EPWR,EP,P,A,POZNAN,,,,,,,,,SEEUP EPLUEPVINF0126300 V0FSRNA N51061000E016530900E005000406Y                          00EPWREPPAPOZNAN                   ,,,,
S,EEU,P,,EPLY,EP,V,TWR,0128025,,V,0,,N,A,,N52001800,E019083800,E0060,00404,Y,,,,,,,,,,00,,,,,LECZYCA,,,,,,,,,SEEUP EPLYEPVTWR0128025 V0   NA N52001800E019083800E006000404Y                          00        LECZYCA                  ,,,,
S,EEU,P,,EPMI,EP,V,RDR,0023407,,U,1,M,R,F,,N53234200,E016045800,E0050,00495,N,,,,,,,,,,00,,,,,MIROSLAWIEC PRECISION,,,,,,,,,SEEUP EPMIEPVRDR0023407 U1  MRF N53234200E016045800E005000495N                          00        MIROSLAWIEC PRECISION    ,SEEUP EPMIEPVRDR0023407 U2 N  PPR                                                                                          ,,,
S,EEU,P,,EPMR,EP,V,INF,0126300,,V,0,FSR,N,A,,N51061000,E016530900,E0050,00406,Y,,,,,,,,,,00,EPWR,EP,P,A,POZNAN,,,,,,,,,SEEUP EPMREPVINF0126300 V0FSRNA N51061000E016530900E005000406Y                          00EPWREPPAPOZNAN                   ,,,,
S,EEU,P,,EPNC,EP,V,RDO,0122205,,C,1,,N,A,,N52342600,E020521800,E0060,00375,N,,,,,,,,,,00,,,,,CHRCYNNO,,,,,,,,,SEEUP EPNCEPVRDO0122205 C1   NA N52342600E020521800E006000375N                          00        CHRCYNNO                 ,SEEUP EPNCEPVRDO0122205 C2 N  NO SPECIFIC WORKING HOURS.                                                                   ,,,
S,EEU,P,,EPRA,EP,V,GND,0121750,,V,1,M,N,A,,N51232000,E021124200,E0070,00625,N,,,,,,,,,,00,,,,,RADOM,,,,,,,,,SEEUP EPRAEPVGND0121750 V1  MNA N51232000E021124200E007000625N                          00        RADOM                    ,"SEEUP EPRAEPVGND0121750 V2 N  MON, THU 1900-2200Z; TUE, FRI 0700-1400Z & 1700-2000Z & BY NOTAM.                            ",,,
S,EEU,P,,EPSI,EP,V,INF,0127250,,V,0,F R,N,A,,N51350000,E018430000,E0050,00504,Y,,,,,,,,,,00,,,,,POZNAN,,,,,,,,,SEEUP EPSIEPVINF0127250 V0F RNA N51350000E018430000E005000504Y                          00        POZNAN                   ,,,,
