record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,ils_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,D,,URKG,UR,,IGN,UR,11010,ITDN,,,IGN,N44341630,E038002750,,00131,0,02,208,WGE,GELENDZHIK,S,Simulation application continuation,UN,E0076,00131,73671,2309,SEEUD URKGUR IGN   UR111010 ITDN                   IGN N44341630E038002750     00131002208WGEGELENDZHIK                    ,SEEUD URKGUR IGN   UR2S    UN                                             E007600131                                       
S,EEU,D,,UTSA,UT,,IHG,UT,10930,ITDN,,,IHG,N40064592,E065090875,,01200,0,02,,WGE,NAVOI,S,Simulation application continuation,UN,E0056,01200,73815,2212,SEEUD UTSAUT IHG   UT110930 ITDN                   IHG N40064592E065090875     01200002   WGENAVOI                         ,SEEUD UTSAUT IHG   UT2S    UN                                             E005601200                                       
S,EEU,D,,UTSA,UT,,INL,UT,10870,ITDN,,,INL,N40071046,E065112721,,01200,0,02,342,WGE,NAVOI,S,Simulation application continuation,UN,E0056,01200,73817,2212,SEEUD UTSAUT INL   UT110870 ITDN                   INL N40071046E065112721     01200002342WGENAVOI                         ,SEEUD UTSAUT INL   UT2S    UN                                             E005601200                                       
S,EEU,D,,UTSS,UT,,IMZ,UT,10950,ITDN,,,IMZ,N39421393,E066580413,,02200,0,02,,WGE,SAMARKAND,S,Simulation application continuation,UN,E0053,02200,73819,2211,SEEUD UTSSUT IMZ   UT110950 ITDN                   IMZ N39421393E066580413     02200002   WGESAMARKAND                     ,SEEUD UTSSUT IMZ   UT2S    UN                                             E005302200                                       
S,EEU,D,,UTSS,UT,,ISD,UT,11070,ITDN,,,ISD,N39420626,E066594350,,02200,0,02,227,WGE,SAMARKAND,S,Simulation application continuation,UN,E0053,02200,73821,2211,SEEUD UTSSUT ISD   UT111070 ITDN                   ISD N39420626E066594350     02200002227WGESAMARKAND                     ,SEEUD UTSSUT ISD   UT2S    UN                                             E005302200                                       
S,EEU,D,,UTST,UT,,INO,UT,11030,ITDN,,,INO,N37172923,E067191415,,01100,0,02,104,WGE,TERMEZ INTL,S,Simulation application continuation,UN,E0044,01100,73823,2401,SEEUD UTSTUT INO   UT111030 ITDN                   INO N37172923E067191415     01100002104WGETERMEZ INTL                   ,SEEUD UTSTUT INO   UT2S    UN                                             E004401100                                       
S,EEU,D,,UTTT,UT,,IFD,UT,10850,ITDN,,,IFD,N41153260,E069174590,,01414,0,02,542,WGE,ISLAM KARIMOV,S,Simulation application continuation,UN,E0056,01414,73825,2301,SEEUD UTTTUT IFD   UT110850 ITDN                   IFD N41153260E069174590     01414002542WGEISLAM KARIMOV                 ,SEEUD UTTTUT IFD   UT2S    UN                                             E005601414                                       
S,EEU,D,,UTTT,UT,,ING,UT,11050,ITDN,,,ING,N41151980,E069155090,,01387,0,02,296,WGE,ISLAM KARIMOV,S,Simulation application continuation,UN,E0056,01387,73827,1805,SEEUD UTTTUT ING   UT111050 ITDN                   ING N41151980E069155090     01387002296WGEISLAM KARIMOV                 ,SEEUD UTTTUT ING   UT2S    UN                                             E005601387                                       
S,EEU,D,,UTTT,UT,,IZW,UT,11170,ITDN,,,IZW,N41151320,E069155080,,01385,0,02,067,WGE,ISLAM KARIMOV,S,Simulation application continuation,UN,E0056,01385,73829,1805,SEEUD UTTTUT IZW   UT111170 ITDN                   IZW N41151320E069155080     01385002067WGEISLAM KARIMOV                 ,SEEUD UTTTUT IZW   UT2S    UN                                             E005601385                                       
S,EEU,D,,ZWWW,ZW,,IOY,ZW,10970,IT N,,,IOY,N43541585,E087272231,,02139,0,,419,WGE,DIWOPU,S,Simulation application continuation,UN,E0026,02139,74311,2010,SEEUD ZWWWZW IOY   ZW110970 IT N                   IOY N43541585E087272231     021390  419WGEDIWOPU                        ,SEEUD ZWWWZW IOY   ZW2S    UN                                             E002602139                                       
S,EEU,D,,ZWWW,ZW,,IRM,ZW,11030,IT N,,,IRM,N43544268,E087292819,,02139,0,,456,WGE,DIWOPU,S,Simulation application continuation,UN,E0026,02139,74313,2010,SEEUD ZWWWZW IRM   ZW111030 IT N                   IRM N43544268E087292819     021390  456WGEDIWOPU                        ,SEEUD ZWWWZW IRM   ZW2S    UN                                             E002602139                                       
