record_type,area_code,sec,sub,icao,runway_id,rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,dthr_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,loc_cat_class,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,AFR,P,G,DAOI,RW07,04921,0680,N36123476,E001192383,,00463,0000,40,098,,,SAFRP DAOIDAGRW07    1049210680 N36123476E001192383               00463000040098      0000                                 ,S,Simulation application continuation,SAFRP DAOIDAGRW07    2S                            06900Y        L00463                                                    
S,AFR,P,G,DAOI,RW25,04921,2480,N36125417,E001201878,,00466,0000,40,098,,,SAFRP DAOIDAGRW25    1049212480 N36125417E001201878               00466000040098      0000                                 ,S,Simulation application continuation,SAFRP DAOIDAGRW25    2S                            24900Y        L00466                                                    
S,AFR,P,G,DAUH,RW18R,05906,1820,N31403180,E006082630,,00469,0000,50,148,,,SAFRP DAUHDAGRW18R   1059061820 N31403180E006082630               00469000050148      0328                                 ,S,Simulation application continuation,SAFRP DAUHDAGRW18R   2S                            18400Y        L00469                                                    
S,AFR,P,G,DAUH,RW36L,05906,0020,N31393347,E006082113,,00459,0000,50,148,HM,,SAFRP DAUHDAGRW36L   1059060020 N31393347E006082113               00459000050148 HM   0000                                 ,S,Simulation application continuation,SAFRP DAUHDAGRW36L   2S                            00400Y        L00459                                                    
S,AFR,P,G,FBJW,RW08,05495,0820,S24361573,E024410252,,03905,0000,40,082,,,SAFRP FBJWFBGRW08    1054950820 S24361573E024410252               03905000040082      0492                                 ,S,Simulation application continuation,SAFRP FBJWFBGRW08    2S                            06500Y        L03905                                                    
S,AFR,P,G,FBJW,RW26,05495,2620,S24355271,E024415679,,03899,0000,40,082,,,SAFRP FBJWFBGRW26    1054952620 S24355271E024415679               03899000040082      0492                                 ,S,Simulation application continuation,SAFRP FBJWFBGRW26    2S                            24500Y        L03899                                                    
S,AFR,P,G,FBOR,RW07,05495,0730,S21161086,E025184516,,03106,0000,40,098,,,SAFRP FBORFBGRW07    1054950730 S21161086E025184516               03106000040098      0492                                 ,S,Simulation application continuation,SAFRP FBORFBGRW07    2S                            06100Y        L03106                                                    
S,AFR,P,G,FBOR,RW25,05495,2530,S21154441,E025193608,,03114,0000,40,098,,,SAFRP FBORFBGRW25    1054952530 S21154441E025193608               03114000040098      0492                                 ,S,Simulation application continuation,SAFRP FBORFBGRW25    2S                            24100Y        L03114                                                    
S,AFR,P,G,FMNR,RW14,04265,1430,S15260226,E049410444,,00014,0000,50,098,,,SAFRP FMNRFMGRW14    1042651430 S15260226E049410444               00014000050098      0000                                 ,S,Simulation application continuation,SAFRP FMNRFMGRW14    2S                            13056Y        L00014                                                    
S,AFR,P,G,FMNR,RW32,04265,3230,S15262969,E049413748,,00013,0000,50,098,,,SAFRP FMNRFMGRW32    1042653230 S15262969E049413748               00013000050098      0000                                 ,S,Simulation application continuation,SAFRP FMNRFMGRW32    2S                            31056Y        L00013                                                    
S,AFR,P,G,FOGO,RW03,05906,0270,N01320877,E011344104,,02143,0000,40,098,,,SAFRP FOGOFOGRW03    1059060270 N01320877E011344104               02143000040098      0000                                 ,S,Simulation application continuation,SAFRP FOGOFOGRW03    2S                            02700N        L02143                                                    
S,AFR,P,G,FOGO,RW21,05906,2070,N01330203,E011350524,,02165,0000,40,098,,,SAFRP FOGOFOGRW21    1059062070 N01330203E011350524               02165000040098      0000                                 ,S,Simulation application continuation,SAFRP FOGOFOGRW21    2S                            20700N        L02165                                                    
S,AFR,P,G,FPPR,RW18,05741,1830,N01401111,E007243967,,00571,0000,40,098,,,SAFRP FPPRFPGRW18    1057411830 N01401111E007243967               00571000040098      0000                                 ,S,Simulation application continuation,SAFRP FPPRFPGRW18    2S                            18000Y        L00571                                                    
S,AFR,P,G,FPPR,RW36,05741,0030,N01392113,E007243971,,00581,0705,40,098,,,SAFRP FPPRFPGRW36    1057410030 N01392113E007243971               00581070540098      0492                                 ,S,Simulation application continuation,SAFRP FPPRFPGRW36    2S                            36000Y        L00581                                                    
S,AFR,P,G,FQFN,RW02,05906,0200,S24540358,E033451059,,00306,0000,50,148,,,SAFRP FQFNFQGRW02    1059060200 S24540358E033451059               00306000050148      0000                                 ,S,Simulation application continuation,SAFRP FQFNFQGRW02    2S                            00094Y        L00306                                                    
S,AFR,P,G,FQFN,RW20,05906,2000,S24530509,E033451164,,00298,0000,50,148,,,SAFRP FQFNFQGRW20    1059062000 S24530509E033451164               00298000050148      0000                                 ,S,Simulation application continuation,SAFRP FQFNFQGRW20    2S                            18094Y        L00298                                                    
S,AFR,P,G,HEAX,RW14L,11155,1380,N30554932,E029410631,,00177,0000,50,148,,,SAFRP HEAXHEGRW14L   1111551380 N30554932E029410631               00177000050148      0000                                 ,S,Simulation application continuation,SAFRP HEAXHEGRW14L   2S                            14285Y        L00177                                                    
S,AFR,P,G,HEAX,RW14R,11155,1380,N30554478,E029405941,,00172,0000,50,148,,,SAFRP HEAXHEGRW14R   1111551380 N30554478E029405941               00172000050148      0000                                 ,S,Simulation application continuation,SAFRP HEAXHEGRW14R   2S                            14284Y        L00172                                                    
S,AFR,P,G,HEAX,RW32L,11155,3180,N30541679,E029421674,,00127,0000,50,148,,,SAFRP HEAXHEGRW32L   1111553180 N30541679E029421674               00127000050148      0000                                 ,S,Simulation application continuation,SAFRP HEAXHEGRW32L   2S                            32285Y        L00127                                                    
S,AFR,P,G,HEAX,RW32R,11155,3180,N30542131,E029422364,,00133,0000,51,148,IALX,,SAFRP HEAXHEGRW32R   1111553180 N30542131E029422364               00133000051148 IALX 0000                                 ,S,Simulation application continuation,SAFRP HEAXHEGRW32R   2S                            32286Y        L00133                                                    
S,AFR,P,G,HKKG,RW08,04216,0780,N00161308,E034465756,,05048,0000,40,075,,,SAFRP HKKGHKGRW08    1042160780 N00161308E034465756               05048000040075      0000                                 ,S,Simulation application continuation,SAFRP HKKGHKGRW08    2S                            07900Y        L05048                                                    
S,AFR,P,G,HKKG,RW26,04216,2580,N00162107,E034473842,,05015,0000,40,075,,,SAFRP HKKGHKGRW26    1042162580 N00162107E034473842               05015000040075      0000                                 ,S,Simulation application continuation,SAFRP HKKGHKGRW26    2S                            25900Y        L05015                                                    
S,AFR,P,G,HKNL,RW03,04888,0290,S00040281,E037021828,,06253,0000,40,075,,,SAFRP HKNLHKGRW03    1048880290 S00040281E037021828               06253000040075      0000                                 ,S,Simulation application continuation,SAFRP HKNLHKGRW03    2S                            02900Y        A06253                                                    
S,AFR,P,G,HKNL,RW21,04888,2090,S00032054,E037024193,,06253,0000,40,075,,,SAFRP HKNLHKGRW21    1048882090 S00032054E037024193               06253000040075      0000                                 ,S,Simulation application continuation,SAFRP HKNLHKGRW21    2S                            20900Y        A06253                                                    
S,AFR,P,G,HLGS,RW13,11811,1300,N31040662,E016352017,,00266,0000,50,148,,,SAFRP HLGSHLGRW13    1118111300 N31040662E016352017               00266000050148      0984                                 ,S,Simulation application continuation,SAFRP HLGSHLGRW13    2S                            13200N        L00266                                                    
