record_type,area_code,sec,icao,icao_code,sub,localizer_identifier,ils_category,localizer_frequency,runway_identifier,localizer_latitude,localizer_longitude,localizer_bearing,glide_slope_latitude,glide_slope_longitude,localizer_position,localizer_position_reference,glide_slope_position,localizer_width,glide_slope_angle,station_declination,glide_slope_height_lthr,glide_slope_elevation,supporting_facility_id,supporting_facility_icao,supporting_facility_section,supporting_facility_subsection,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,AFR,P,GLRB,GL,I,ISK,1,11030,RW04,N06145509,W010211222,0370,N06132565,W010221065,0786,,1033,0000,300,W0060,49,00029,,,,,SAFRP GLRBGLIISK 1   111030RW04 N06145509W0102112220370N06132565W0102210650786 10330000300W00604900029                     ,S,Simulation application continuation,SAFRP GLRBGLIISK 1   2S    U  N                    03100N                              140                                 
S,AFR,P,GMME,GM,I,RS,2,11090,RW21,N34020812,W006454730,2120,N34034340,W006443075,1013,,0912,0000,300,W0000,50,00266,,,,,SAFRP GMMEGMIRS  2   111090RW21 N34020812W0064547302120N34034340W0064430751013 09120000300W00005000266                     ,S,Simulation application continuation,SAFRP GMMEGMIRS  2   2S    U  N                    21200N                              140                                 
S,AFR,P,HEAL,HE,I,IALM,1,10850,RW31L,N30561700,E028262320,3070,N30545520,E028281930,0992,,1033,0000,300,E0040,55,00184,,,,,SAFRP HEALHEIIALM1   110850RW31LN30561700E0282623203070N30545520E0282819300992 10330000300E00405500184                     ,S,Simulation application continuation,SAFRP HEALHEIIALM1   2S    U  N                    31100N                              140                                 
S,AFR,P,HEAX,HE,I,IALX,1,11130,RW32R,N30555720,E029405940,3180,N30542640,E029421340,0998,,0971,0000,300,E0050,51,00182,,,,,SAFRP HEAXHEIIALX1   111130RW32RN30555720E0294059403180N30542640E0294213400998 09710000300E00505100182                     ,S,Simulation application continuation,SAFRP HEAXHEIIALX1   2S    U  N                    32300N                              140                                 
S,AFR,P,HLGS,HL,I,ISIT,1,10990,RW36,N31044386,E016353762,3580,N31024632,E016353552,1019,,0972,0000,300,E0020,50,00267,,,,,SAFRP HLGSHLIISIT1   110990RW36 N31044386E0163537623580N31024632E0163535521019 09720000300E00205000267                     ,S,Simulation application continuation,SAFRP HLGSHLIISIT1   2S    U  N                    36000N                              140                                 
S,CAN,P,CYOW,CY,I,IOW,2,10950,RW07,N45193572,W075383010,0710,N45184999,W075400073,1040,,1088,0450,300,W0140,58,00369,,,,,SCANP CYOWCYIIOW 2   110950RW07 N45193572W0753830100710N45184999W0754000731040 10880450300W01405800369                     ,S,Simulation application continuation,SCANP CYOWCYIIOW 2   2S    U  N                    05700N                              140                                 
S,EEU,P,LRBC,LR,I,IBC,2,11070,RW34,N46320750,E026541760,3380,N46304820,E026544280,1003,,0972,0000,300,E0070,54,00590,,,,,SEEUP LRBCLRIIBC 2   111070RW34 N46320750E0265417603380N46304820E0265442801003 09720000300E00705400590                     ,S,Simulation application continuation,SEEUP LRBCLRIIBC 2   2S    U  N                    34500N                              140                                 
S,EEU,P,LRCK,LR,I,ICK,2,11030,RW36,N44225390,E028292800,3590,N44205690,E028291840,1410,,1033,0500,300,E0070,54,00315,,,,,SEEUP LRCKLRIICK 2   111030RW36 N44225390E0282928003590N44205690E0282918401410 10330500300E00705400315                     ,S,Simulation application continuation,SEEUP LRCKLRIICK 2   2S    U  N                    00600N                              140                                 
S,EEU,P,LROD,LR,I,IOD,2,10950,RW19,N47003150,E021535150,1860,N47014950,E021541980,1335,,0972,0000,300,E0060,52,00450,,,,,SEEUP LRODLRIIOD 2   110950RW19 N47003150E0215351501860N47014950E0215419801335 09720000300E00605200450                     ,S,Simulation application continuation,SEEUP LRODLRIIOD 2   2S    U  N                    19200N                              140                                 
S,EEU,P,UBLC,UB,I,ILN,1,10930,RW32,N39534890,E046211070,3230,N39522990,E046220690,0552,,1276,0000,300,E0060,50,05690,,,,,SEEUP UBLCUBIILN 1   110930RW32 N39534890E0462110703230N39522990E0462206900552 12760000300E00605005690                     ,S,Simulation application continuation,SEEUP UBLCUBIILN 1   2S    U  U                    32900N                              140                                 
