record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,cont#3_appl_code,cont#3_appl_label,cont#3_1_123,cont#4_appl_code,cont#4_appl_label,cont#4_1_123,cont#5_appl_code,cont#5_appl_label,cont#5_1_123,cont#6_appl_code,cont#6_appl_label,cont#6_1_123
S,AFR,P,,DIKO,DI,V,TWR,0118200,,V,1,,N,A,,N09231530,W005331490,W0040,01213,N,,,,,,,,,,00,,,,,KORHOGO,SAFRP DIKODIVTWR0118200 V1   NA N09231530W005331490W004001213N                          00        KORHOGO                  ,,,SAFRP DIKODIVTWR0118200 V2 T  1707002000                                                                                   ,,,,,,,,,,,,
S,AFR,P,,DNPO,DN,V,TWR,0118600,,V,0,S,N,A,,N05005600,E006565800,W0020,00091,Y,,,,,,,,,,00,,,,,PORT HARCOURT,SAFRP DNPODNVTWR0118600 V0 S NA N05005600E006565800W002000091Y                          00        PORT HARCOURT            ,,,,,,,,,,,,,,,
S,AFR,P,,FAGM,FA,V,TWR,0118700,,V,1,,N,A,,S26143112,E028090488,W0190,05483,N,,,,,,,,,,00,,,,,RAND,SAFRP FAGMFAVTWR0118700 V1   NA S26143112E028090488W019005483N                          00        RAND                     ,,,SAFRP FAGMFAVTWR0118700 V2 N  MON-SUN ICLUD. HOL 0500-1600Z.                                                               ,,,,,,,,,,,,
S,AFR,P,,FBSP,FB,V,GND,0118700,,V,1,,N,A,,S22032376,E027491365,W0120,02925,N,,,,,,,,,,00,,,,,SELEBI,SAFRP FBSPFBVGND0118700 V1   NA S22032376E027491365W012002925N                          00        SELEBI                   ,,,SAFRP FBSPFBVGND0118700 V2 T  17073010451711451630                                                                         ,,,,,,,,,,,,
S,AFR,P,,FCOD,FC,V,TWR,0119100,,V,1,,N,A,,S01131700,E015544900,W0000,01073,N,,,,,,,,,,00,,,,,OLLOMBO,SAFRP FCODFCVTWR0119100 V1   NA S01131700E015544900W000001073N                          00        OLLOMBO                  ,,,SAFRP FCODFCVTWR0119100 V2 T  1706001800                                                                                   ,,,,,,,,,,,,
S,AFR,P,,FHSH,FH,V,APP,0118200,,V,1,S,N,A,,S15572930,W005384545,W0160,01017,N,,,,,,,,,,00,,,,,ST HELENA,SAFRP FHSHFHVAPP0118200 V1 S NA S15572930W005384545W016001017N                          00        ST HELENA                ,,,SAFRP FHSHFHVAPP0118200 V2 T  240800160005120016000604001600                                                               ,,,,,,,,,,,,
S,AFR,P,,FHSH,FH,V,TWR,0119500,,V,1,,N,A,,S15572930,W005384545,W0160,01017,N,,,,,,,,,,00,,,,,ST HELENA,SAFRP FHSHFHVTWR0119500 V1   NA S15572930W005384545W016001017N                          00        ST HELENA                ,,,SAFRP FHSHFHVTWR0119500 V2 T  240800160005120016000604001600                                                               ,,,,,,,,,,,,
S,AFR,P,,FNLU,FN,V,APP,0119300,,V,1,,N,A,,S08511970,E013140201,W0030,00238,N,,,,,,,,,,00,,,,,LUANDA,SAFRP FNLUFNVAPP0119300 V1   NA S08511970E013140201W003000238N                          00        LUANDA                   ,,,SAFRP FNLUFNVAPP0119300 V2 T  1705001700                                                                                   ,,,,,,,,,,,,
S,AFR,P,,FQFN,FQ,V,TWR,0118200,,V,1,,N,A,,S24534400,E033451100,W0190,00306,N,,,,,,,,,,00,,,,,FELIPE NYUSI,SAFRP FQFNFQVTWR0118200 V1   NA S24534400E033451100W019000306N                          00        FELIPE NYUSI             ,,,SAFRP FQFNFQVTWR0118200 V2 T  1705301330                                                                                   ,,,,,,,,,,,,
S,AFR,P,,FQFN,FQ,V,TWR,0119100,,V,1,S,N,A,,S24534400,E033451100,W0190,00306,N,,,,,,,,,,00,,,,,FELIPE NYUSI,SAFRP FQFNFQVTWR0119100 V1 S NA S24534400E033451100W019000306N                          00        FELIPE NYUSI             ,,,SAFRP FQFNFQVTWR0119100 V2 T  1705301330                                                                                   ,,,,,,,,,,,,
S,AFR,P,,FSIA,FS,V,EMR,0121600,,V,0,,N,A,,S04402764,E055311867,W0050,00012,Y,,,,,,,,,,00,,,,,SEYCHELLES FIRE,SAFRP FSIAFSVEMR0121600 V0   NA S04402764E055311867W005000012Y                          00        SEYCHELLES FIRE          ,,,,,,,,,,,,,,,
S,AFR,P,,FYWB,FY,V,ATI,0127000,T,V,0,,N,A,,S22584800,E014384300,W0130,00299,Y,,,,,,,,,,00,,,,,,SAFRP FYWBFYVATI0127000TV0   NA S22584800E014384300W013000299Y                          00                                 ,,,,,,,,,,,,,,,
S,AFR,P,,FYWH,FY,V,ATI,0126200,T,V,0,,N,A,,S22285232,E017281380,W0120,05641,Y,,,,,,,,,,00,,,,,,SAFRP FYWHFYVATI0126200TV0   NA S22285232E017281380W012005641Y                          00                                 ,,,,,,,,,,,,,,,
