record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,AFR,D,,,,,ABC,DN,11630,VDHW,N09021610,E007170640,,N09021610,E007170640,W0000,01191,2,,,WGE,ABUJA,SAFRD        ABC   DN111630VDHW N09021610E007170640    N09021610E007170640W0000011912     WGEABUJA                         ,S,Simulation application continuation,SAFRD        ABC   DN2S    UY                                             W000001191                                       
S,AFR,D,,,,,ABI,HD,11460,TH,,,ABI,N11325720,E043091750,E0020,00040,2,,,WGE,DJIBOUTI,SAFRD        ABI   HD111460 TH                     ABI N11325720E043091750E0020000402     WGEDJIBOUTI                      ,S,Simulation application continuation,SAFRD        ABI   HD2S    UN                                             E0018                                            
S,AFR,D,,,,,ABU,HL,11510,VDHW,N32274620,E013101023,,N32274620,E013101023,E0020,00489,2,,437,WGE,ABU ARGUB,SAFRD        ABU   HL111510VDHW N32274620E013101023    N32274620E013101023E0020004892  437WGEABU ARGUB                     ,S,Simulation application continuation,SAFRD        ABU   HL2S    UN                                             E003300489                                       
S,AFR,D,,,,,ABV,FA,11210,VDHW,S28341435,E016320180,,S28341435,E016320180,W0190,00098,2,,,WGE,ALEXANDER BAY,SAFRD        ABV   FA111210VDHW S28341435E016320180    S28341435E016320180W0190000982     WGEALEXANDER BAY                 ,S,Simulation application continuation,SAFRD        ABV   FA2S    UN                                             W0199                                            
S,AFR,D,,,,,ACC,DG,11310,VDHW,N05380265,W000091931,,N05380265,W000091931,W0040,00258,2,,587,WGE,ACCRA,SAFRD        ACC   DG111310VDHW N05380265W000091931    N05380265W000091931W0040002582  587WGEACCRA                         ,S,Simulation application continuation,SAFRD        ACC   DG2S    UN                                             W002400258                                       
S,AFR,D,,,,,AD,DI,11430,VDHW,N05165814,W003550112,,N05165814,W003550112,W0040,00046,2,,515,WGE,ABIDJAN,SAFRD        AD    DI111430VDHW N05165814W003550112    N05165814W003550112W0040000462  515WGEABIDJAN                       ,S,Simulation application continuation,SAFRD        AD    DI2S    UN                                             W003500046                                       
S,AFR,D,,,,,ADM,GM,11720,VDHW,N30191890,W009230050,,N30191890,W009230050,W0020,00295,2,,,WGE,AL-MASSIRA (AGADIR),SAFRD        ADM   GM111720VDHW N30191890W009230050    N30191890W009230050W0020002952     WGEAL-MASSIRA (AGADIR)           ,S,Simulation application continuation,SAFRD        ADM   GM2S    UN                                             W001300295                                       
S,AFR,D,,,,,ADR,DA,11260,VDHW,N27491320,W000120993,,N27491320,W000120993,W0010,00952,2,,,WGE,ADRAR,SAFRD        ADR   DA111260VDHW N27491320W000120993    N27491320W000120993W0010009522     WGEADRAR                         ,S,Simulation application continuation,SAFRD        ADR   DA2S    UN                                             E000900952                                       
S,AFR,D,,,,,ADS,HA,11290,VDUW,N08583015,E038475784,,N08583015,E038475784,E0020,07658,2,,600,WGE,ADDIS ABABA,SAFRD        ADS   HA111290VDUW N08583015E038475784    N08583015E038475784E0020076582  600WGEADDIS ABABA                   ,S,Simulation application continuation,SAFRD        ADS   HA2S    UN                                             E002207658                                       
S,AFR,D,,,,,AE,FT,11450,V HW,N13504788,E020514698,,,,E0020,,2,,,WGE,ABECHE,SAFRD        AE    FT111450V HW N13504788E020514698                       E0020     2     WGEABECHE                        ,S,Simulation application continuation,SAFRD        AE    FT2S    UY                                             E0029                                            
