record_type,area_code,sec,icao,icao_code,sub,localizer_identifier,ils_category,localizer_frequency,runway_identifier,localizer_latitude,localizer_longitude,localizer_bearing,glide_slope_latitude,glide_slope_longitude,localizer_position,localizer_position_reference,glide_slope_position,localizer_width,glide_slope_angle,station_declination,glide_slope_height_lthr,glide_slope_elevation,supporting_facility_id,supporting_facility_icao,supporting_facility_section,supporting_facility_subsection,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,AFR,P,DAAE,DA,I,BJ,1,11050,RW26,N36423628,E005031337,2610,N36424468,E005044725,0868,,1033,0000,300,E0010,49,00057,,,,,SAFRP DAAEDAIBJ  1   111050RW26 N36423628E0050313372610N36424468E0050447250868 10330000300E00104900057                     ,S,Simulation application continuation,SAFRP DAAEDAIBJ  1   2S    U  N                    26200Y                              140                                 
S,AFR,P,DAAG,DA,I,AG,3,11030,RW23,N36413196,E003130306,2310,N36423654,E003145700,0984,,1125,0000,300,E0020,56,00131,,,,,SAFRP DAAGDAIAG  3   111030RW23 N36413196E0031303062310N36423654E0031457000984 11250000300E00205600131                     ,S,Simulation application continuation,SAFRP DAAGDAIAG  3   2S    U  N                    23300N                              140                                 
S,AFR,P,DAAG,DA,I,AL,1,10950,RW27,N36413175,E003100184,2700,N36412448,E003122357,1063,,0971,0000,300,E0020,49,00082,,,,,SAFRP DAAGDAIAL  1   110950RW27 N36413175E0031001842700N36412448E0031223571063 09710000300E00204900082                     ,S,Simulation application continuation,SAFRP DAAGDAIAL  1   2S    U  N                    27200N                              140                                 
S,AFR,P,DAAG,DA,I,HB,2,10850,RW09,N36412778,E003124789,0900,N36412740,E003102740,0984,,0984,0000,300,E0020,52,00082,,,,,SAFRP DAAGDAIHB  2   110850RW09 N36412778E0031247890900N36412740E0031027400984 09840000300E00205200082                     ,S,Simulation application continuation,SAFRP DAAGDAIHB  2   2S    U  N                    09200N                              140                                 
S,AFR,P,DAAJ,DA,I,DJ,1,10990,RW12,N24163034,E009284769,1240,N24173036,E009272149,1146,,0971,0000,300,E0010,50,03199,,,,,SAFRP DAAJDAIDJ  1   110990RW12 N24163034E0092847691240N24173036E0092721491146 09710000300E00105003199                     ,S,Simulation application continuation,SAFRP DAAJDAIDJ  1   2S    U  N                    12500N                              140                                 
S,AFR,P,DAAS,DA,I,ST,0,11090,RW27,N36103969,E005184344,2660,,,0524,,,0000,,E0010,,,,,,,SAFRP DAASDAIST  0   111090RW27 N36103969E0051843442660                   0524     0000   E0010                            ,S,Simulation application continuation,SAFRP DAASDAIST  0   2S    U  N                    26700N                                                                  
S,AFR,P,DAAT,DA,I,TA,1,10970,RW08,N22484193,E005272026,0810,N22483010,E005253282,0840,,1033,0000,300,E0010,46,04524,,,,,SAFRP DAATDAITA  1   110970RW08 N22484193E0052720260810N22483010E0052532820840 10330000300E00104604524                     ,S,Simulation application continuation,SAFRP DAATDAITA  1   2S    U  N                    08200N                              140                                 
S,AFR,P,DAAT,DA,I,TM,1,10850,RW20,N22474300,E005263900,2010,N22492600,E005271900,0394,,0984,0000,328,E0010,50,04518,,,,,SAFRP DAATDAITM  1   110850RW20 N22474300E0052639002010N22492600E0052719000394 09840000328E00105004518                     ,S,Simulation application continuation,SAFRP DAATDAITM  1   2S    U  N                    20200N                              140                                 
S,AFR,P,DAAV,DA,I,JL,1,10810,RW17,N36465430,E005523406,1690,N36481217,E005522370,0993,,0971,0000,300,E0020,49,00036,,,,,SAFRP DAAVDAIJL  1   110810RW17 N36465430E0055234061690N36481217E0055223700993 09710000300E00204900036                     ,S,Simulation application continuation,SAFRP DAAVDAIJL  1   2S    U  N                    17100Y                              140                                 
S,AFR,P,DABB,DA,I,AN,1,10970,RW18,N36485920,E007483060,1850,N36503290,E007484039,0669,,1033,0000,300,E0020,49,00016,,,,,SAFRP DABBDAIAN  1   110970RW18 N36485920E0074830601850N36503290E0074840390669 10330000300E00204900016                     ,S,Simulation application continuation,SAFRP DABBDAIAN  1   2S    U  N                    18700N                              140                                 
