record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,changed_field_count,changed_fields
S,AFR,D,,,,,ABC,DN,11630,VDHW,N09021610,E007170640,,N09021610,E007170640,W0000,01191,2,,,WGE,ABUJA,SAFRD        ABC   DN111630VDHW N09021610E007170640    N09021610E007170640W0000011912     WGEABUJA                         ,S,Simulation application continuation,SAFRD        ABC   DN2S    UY                                             W000001191                                       ,1,cont#2_1_123
S,AFR,D,,,,,ABV,FA,11210,VDHW,S28341435,E016320180,,S28341435,E016320180,W0190,00098,2,,,WGE,ALEXANDER BAY,SAFRD        ABV   FA111210VDHW S28341435E016320180    S28341435E016320180W0190000982     WGEALEXANDER BAY                 ,S,Simulation application continuation,SAFRD        ABV   FA2S    UN                                             W0199                                            ,1,cont#2_1_123
S,AFR,D,,,,,ACC,DG,11310,VDHW,N05380265,W000091931,,N05380265,W000091931,W0040,00258,2,,587,WGE,ACCRA,SAFRD        ACC   DG111310VDHW N05380265W000091931    N05380265W000091931W0040002582  587WGEACCRA                         ,S,Simulation application continuation,SAFRD        ACC   DG2S    UN                                             W002400258                                       ,1,cont#2_1_123
S,AFR,D,,,,,AD,DI,11430,VDHW,N05165814,W003550112,,N05165814,W003550112,W0040,00046,2,,515,WGE,ABIDJAN,SAFRD        AD    DI111430VDHW N05165814W003550112    N05165814W003550112W0040000462  515WGEABIDJAN                       ,S,Simulation application continuation,SAFRD        AD    DI2S    UN                                             W003500046                                       ,1,cont#2_1_123
S,AFR,D,,,,,ADR,DA,11260,VDHW,N27491320,W000120993,,N27491320,W000120993,W0010,00952,2,,,WGE,ADRAR,SAFRD        ADR   DA111260VDHW N27491320W000120993    N27491320W000120993W0010009522     WGEADRAR                         ,S,Simulation application continuation,SAFRD        ADR   DA2S    UN                                             E000900952                                       ,1,cont#2_1_123
S,AFR,D,,,,,AE,FT,11450,V HW,N13504788,E020514698,,,,E0020,,2,,,WGE,ABECHE,SAFRD        AE    FT111450V HW N13504788E020514698                       E0020     2     WGEABECHE                        ,S,Simulation application continuation,SAFRD        AE    FT2S    UY                                             E0029                                            ,1,cont#2_1_123
S,AFR,D,,,,,AGV,FA,11670,VDHW,S29285167,E018334497,,S29285167,E018334497,W0200,02648,2,,,WGE,AGGENEYS,SAFRD        AGV   FA111670VDHW S29285167E018334497    S29285167E018334497W0200026482     WGEAGGENEYS                      ,S,Simulation application continuation,SAFRD        AGV   FA2S    UN                                             W0217                                            ,1,cont#2_1_123
S,AFR,D,,,,,AKW,DN,11380,VDHW,N04534300,E008061780,,N04534300,E008061780,W0020,00201,2,,110,WGE,UYO,SAFRD        AKW   DN111380VDHW N04534300E008061780    N04534300E008061780W0020002012  110WGEUYO                           ,S,Simulation application continuation,SAFRD        AKW   DN2S    UN                                             W000500201                                       ,1,cont#2_1_123
S,AFR,D,,,,,ANB,DA,11350,VDHW,N36495680,E007485250,,N36495680,E007485250,E0020,00016,2,,503,WGE,ANNABA,SAFRD        ANB   DA111350VDHW N36495680E007485250    N36495680E007485250E0020000162  503WGEANNABA                        ,S,Simulation application continuation,SAFRD        ANB   DA2S    UN                                             E002900016                                       ,1,cont#2_1_123
S,AFR,D,,,,,ASI,FH,11220,VTHW,S07581155,W014235041,,S07581155,W014235041,W0170,00455,2,,,WGE,ASCENSION AUX,SAFRD        ASI   FH111220VTHW S07581155W014235041    S07581155W014235041W0170004552     WGEASCENSION AUX                 ,S,Simulation application continuation,SAFRD        ASI   FH2S    UN                                             W013700455                                       ,1,cont#2_1_123
