record_type,area_code,sec,sub,icao,runway_id,rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,dthr_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,loc_cat_class,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,changed_field_count,changed_fields
S,AFR,P,G,DFFD,RW04,09888,0350,N12203024,W001311200,,01034,0000,49,148,OG,,SAFRP DFFDDFGRW04    1098880350 N12203024W001311200         +0341101034000049148 OG   0000                                 ,S,Simulation application continuation,SAFRP DFFDDFGRW04    2S                            03340Y        T01037                                                    ,1,cont#2_1_123
S,AFR,P,G,DFFD,RW22,09888,2150,N12215214,W001301712,,00981,0000,49,148,,,SAFRP DFFDDFGRW22    1098882150 N12215214W001301712         +0325200981000049148      0000                                 ,S,Simulation application continuation,SAFRP DFFDDFGRW22    2S                            21340Y        L00981                                                    ,3,"rwy_grad_pct100,primary_1_123,cont#2_1_123"
S,AFR,P,G,DGAA,RW03,11175,0260,N05352630,W000102356,,00176,0000,50,197,,,SAFRP DGAADGGRW03    1111750260 N05352630W000102356               00176000050197      1030                                 ,S,Simulation application continuation,SAFRP DGAADGGRW03    2S                            02239Y        T00184                                                    ,2,"lthr_elev_ft,primary_1_123"
S,AFR,P,G,DGAA,RW21,11175,2060,N05365640,W000094650,,00197,1322,50,197,IACA,,SAFRP DGAADGGRW21    1111752060 N05365640W000094650               00197132250197 IACA 0341                                 ,S,Simulation application continuation,SAFRP DGAADGGRW21    2S                            20239Y        T00204                                                    ,2,"dthr_ft,primary_1_123"
S,AFR,P,G,DNAA,RW04,11844,0350,N08593640,E007151346,,01087,0000,50,148,IAC,,SAFRP DNAADNGRW04    1118440350 N08593640E007151346               01087000050148 IAC  0000                                 ,S,Simulation application continuation,SAFRP DNAADNGRW04    2S                            03515Y        L01087                                                    ,1,cont#2_1_123
S,AFR,P,G,DNAA,RW22,11844,2150,N09011253,E007162140,,01122,0000,50,148,IAB,,SAFRP DNAADNGRW22    1118442150 N09011253E007162140               01122000050148 IAB  0000                                 ,S,Simulation application continuation,SAFRP DNAADNGRW22    2S                            21515Y        L01122                                                    ,1,cont#2_1_123
S,AFR,P,G,DNAK,RW03,09186,0260,N07140671,E005174481,+0460,01065,0000,50,148,,,SAFRP DNAKDNGRW03    1091860260 N07140671E005174481+0460          01065000050148      0000                                 ,S,Simulation application continuation,SAFRP DNAKDNGRW03    2S                            02423Y        L01065                                                    ,1,cont#2_1_123
S,AFR,P,G,DNAK,RW21,09186,2060,N07152985,E005182225,-0460,01108,0000,50,148,,,SAFRP DNAKDNGRW21    1091862060 N07152985E005182225-0460          01108000050148      0000                                 ,S,Simulation application continuation,SAFRP DNAKDNGRW21    2S                            20423Y        L01108                                                    ,1,cont#2_1_123
S,AFR,P,G,DNIM,RW17,08858,1700,N05262061,E007121191,,00372,0000,50,148,,,SAFRP DNIMDNGRW17    1088581700 N05262061E007121191               00372000050148      0000                                 ,S,Simulation application continuation,SAFRP DNIMDNGRW17    2S                            16800N        L00372                                                    ,2,"loc_mls_gls_ident,primary_1_123"
S,AFR,P,G,DNKN,RW05,08530,0450,N12021992,E008311874,,01532,0492,50,148,,,SAFRP DNKNDNGRW05    1085300450 N12021992E008311874               01532049250148      0000                                 ,S,Simulation application continuation,SAFRP DNKNDNGRW05    2S                            04465Y        L01532                                                    ,1,cont#2_1_123
S,AFR,P,G,DNKN,RW06,10827,0620,N12022981,E008302393,-0499,01560,0000,50,197,IKN,,SAFRP DNKNDNGRW06    1108270620 N12022981E008302393-0499          01560000050197 IKN  0000                                 ,S,Simulation application continuation,SAFRP DNKNDNGRW06    2S                            06113Y        L01560                                                    ,1,cont#2_1_123
