record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,cont#3_appl_code,cont#3_appl_label,cont#3_1_123,cont#4_appl_code,cont#4_appl_label,cont#4_1_123,cont#5_appl_code,cont#5_appl_label,cont#5_1_123,cont#6_appl_code,cont#6_appl_label,cont#6_1_123,changed_field_count,changed_fields
S,AFR,P,,DFFD,DF,V,APP,0120300,,V,0,R,R,A,,N12211300,W001304300,W0020,01038,Y,,,,,,,,,,00,DFFD,DF,P,A,OUAGA CONTROL,SAFRP DFFDDFVAPP0120300 V0  RRA N12211300W001304300W002001038Y                          00DFFDDFPAOUAGA CONTROL            ,,,,,,,,,,,,,,,,2,"call_sign,primary_1_123"
S,AFR,P,,DNKN,DN,V,APP,0125700,,V,0,,R,A,,N12025300,E008312500,W0000,01560,Y,,,,,,,,,,00,,,,,KANO,SAFRP DNKNDNVAPP0125700 V0   RA N12025300E008312500W000001560Y                          00        KANO                     ,,,,,,,,,,,,,,,,3,"magnetic_variation,facility_elevation,primary_1_123"
S,AFR,P,,DNKN,DN,V,ATI,0123600,T,V,0,,N,A,,N12025300,E008312500,W0000,01560,Y,,,,,,,,,,00,,,,,,SAFRP DNKNDNVATI0123600TV0   NA N12025300E008312500W000001560Y                          00                                 ,,,,,,,,,,,,,,,,3,"magnetic_variation,facility_elevation,primary_1_123"
S,AFR,P,,DNKN,DN,V,TWR,0118100,,V,0,,R,A,,N12025300,E008312500,W0000,01560,Y,,,,,,,,,,00,,,,,KANO,SAFRP DNKNDNVTWR0118100 V0   RA N12025300E008312500W000001560Y                          00        KANO                     ,,,,,,,,,,,,,,,,3,"magnetic_variation,facility_elevation,primary_1_123"
S,AFR,P,,DNKN,DN,V,TWR,0119100,,V,0,S,R,A,,N12025300,E008312500,W0000,01560,Y,,,,,,,,,,00,,,,,KANO,SAFRP DNKNDNVTWR0119100 V0 S RA N12025300E008312500W000001560Y                          00        KANO                     ,,,,,,,,,,,,,,,,3,"magnetic_variation,facility_elevation,primary_1_123"
S,AFR,P,,FABL,FA,V,APP,0120100,,V,1,,R,A,,S29053764,E026181427,W0220,04457,N,,,,,,,,,,00,,,,,BLOEMFONTEIN,SAFRP FABLFAVAPP0120100 V1   RA S29053764E026181427W022004457N                          00        BLOEMFONTEIN             ,,,SAFRP FABLFAVAPP0120100 V2 T  150445180006070014000707001800                                                               ,,,,,,,,,,,,,1,cont#2_1_123
S,AFR,P,,FABL,FA,V,APP,0124300,,V,1,D,R,A,,S29053764,E026181427,W0220,04457,N,,,,,,,,,,00,,,,,BLOEMFONTEIN,SAFRP FABLFAVAPP0124300 V1  DRA S29053764E026181427W022004457N                          00        BLOEMFONTEIN             ,,,SAFRP FABLFAVAPP0124300 V2 T  150445180006070014000707001800                                                               ,,,,,,,,,,,,,1,cont#2_1_123
S,AFR,P,,FABL,FA,V,ATI,0126450,T,V,1,,N,A,,S29053764,E026181427,W0220,04457,N,,,,,,,,,,00,,,,,,SAFRP FABLFAVATI0126450TV1   NA S29053764E026181427W022004457N                          00                                 ,,,SAFRP FABLFAVATI0126450TV2 T  150445180006070014000707001800                                                               ,,,,,,,,,,,,,1,cont#2_1_123
S,AFR,P,,FABL,FA,V,TWR,0120800,,V,1,P,N,A,,S29053764,E026181427,W0220,04457,N,,,,,,,,,,00,,,,,BLOEMFONTEIN,SAFRP FABLFAVTWR0120800 V1  PNA S29053764E026181427W022004457N                          00        BLOEMFONTEIN             ,,,SAFRP FABLFAVTWR0120800 V2 T  150445180006070014000707001800                                                               ,,,,,,,,,,,,,1,cont#2_1_123
S,AFR,P,,FACT,FA,V,APP,0119700,,V,0,,R,A,,S33581693,E018361545,W0260,00151,Y,,,,,,,,,,00,,,,,CAPE TOWN,SAFRP FACTFAVAPP0119700 V0   RA S33581693E018361545W026000151Y                          00        CAPE TOWN                ,,,,,,,,,,,,,,,,2,"magnetic_variation,primary_1_123"
