record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,AFR,D,,,,,IBA,DN,11210,VDHW,N07205080,E003575650,,N07205080,E003575650,W0020,00771,2,,446,WGE,IBADAN,SAFRD        IBA   DN111210VDHW N07205080E003575650    N07205080E003575650W0020007712  446WGEIBADAN                        ,S,Simulation application continuation,SAFRD        IBA   DN2S    UN                                             W001100771                                       
S,AFR,D,,DNIM,DN,,IOW,DN,11090,ITDN,,,IOW,N05260990,E007121830,,00392,0,02,,WGE,SAM MBAKWE,SAFRD DNIMDN IOW   DN111090 ITDN                   IOW N05260990E007121830     00392002   WGESAM MBAKWE                    ,S,Simulation application continuation,SAFRD DNIMDN IOW   DN2S    UN                                             W000700392                                       
S,AFR,D,,FAPP,FA,,PPI,FA,10870,IT N,,,PPI,S23512111,E029265332,,04009,0,,,WGE,POLOKWANE INTL,SAFRD FAPPFA PPI   FA110870 IT N                   PPI S23512111E029265332     040090     WGEPOLOKWANE INTL                ,S,Simulation application continuation,SAFRD FAPPFA PPI   FA2S    UN                                             W017304009                                       
S,AFR,D,,GLRB,GL,,SK,GL,11030,IT N,,,SK,N06132560,W010221070,,00031,0,,279,WGE,ROBERTS INTL,SAFRD GLRBGL SK    GL111030 IT N                   SK  N06132560W010221070     000310  279WGEROBERTS INTL                  ,S,Simulation application continuation,SAFRD GLRBGL SK    GL2S    UN  N                                          W0055                                            
S,AFR,D,,HEBA,HE,,BIL,HE,11130,IT N,,,BIL,N30542640,E029421340,,00182,0,,242,WGE,BORG EL ARAB INTL,SAFRD HEBAHE BIL   HE111130 IT N                   BIL N30542640E029421340     001820  242WGEBORG EL ARAB INTL             ,S,Simulation application continuation,SAFRD HEBAHE BIL   HE2S    UU                                             E004800182                                       
S,AFR,D,,HLGD,HL,,ISIT,HL,10990,ITDN,,,ISIT,N31024632,E016353552,,00267,0,02,393,WGE,GHARDABIYA,SAFRD HLGDHL ISIT  HL110990 ITDN                   ISITN31024632E016353552     00267002393WGEGHARDABIYA                    ,S,Simulation application continuation,SAFRD HLGDHL ISIT  HL2S    UN                                             E003600267                                       
S,AFR,D,,HLLB,HL,,IBNI,HL,11030,IT N,,,IBNI,N32050302,E020162831,,00433,0,,430,WGE,BENINA,SAFRD HLLBHL IBNI  HL111030 IT N                   IBNIN32050302E020162831     004330  430WGEBENINA                        ,S,Simulation application continuation,SAFRD HLLBHL IBNI  HL2S    UN                                             E004100433                                       
S,AFR,D,B,,,,FOR,GL,02630,H MW,N06120520,W010225791,,,,W0060,,,,,WGE,ROBERTS (MONROVIA),SAFRDB       FOR   GL102630H MW N06120520W010225791                       W0060           WGEROBERTS (MONROVIA)            ,S,Simulation application continuation,SAFRDB       FOR   GL2S     U24                                                                                            
S,AFR,D,B,,,,KB,HT,02930,H HW,S03345382,E036414059,,,,W0000,,,,,WGE,KILIMANJARO,SAFRDB       KB    HT102930H HW S03345382E036414059                       W0000           WGEKILIMANJARO                   ,S,Simulation application continuation,SAFRDB       KB    HT2S     U21                                                                                            
S,AFR,D,B,,,,KL,HT,02830,H MW,S03260948,E036552935,,,,W0000,,,,,WGE,KILIMANJARO,SAFRDB       KL    HT102830H MW S03260948E036552935                       W0000           WGEKILIMANJARO                   ,S,Simulation application continuation,SAFRDB       KL    HT2S     U24                                                                                            
