record_type,area_code,sec,sub,icao,runway_id,rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,dthr_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,loc_cat_class,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,AFR,P,G,DAUH,RW18,09843,1820,N31411109,E006082956,,00456,0000,50,148,,,SAFRP DAUHDAGRW18    1098431820 N31411109E006082956               00456000050148      0328                                 ,S,Simulation application continuation,SAFRP DAUHDAGRW18    2S                            18400Y        L00456                                                    
S,AFR,P,G,DAUH,RW36,09843,0020,N31393347,E006082113,,00459,0000,50,148,HM,,SAFRP DAUHDAGRW36    1098430020 N31393347E006082113               00459000050148 HM   0328                                 ,S,Simulation application continuation,SAFRP DAUHDAGRW36    2S                            00400Y        L00459                                                    
S,AFR,P,G,FKKN,RW02,08858,0210,N07204570,E013331698,,03649,0131,50,148,,,SAFRP FKKNFKGRW02    1088580210 N07204570E013331698               03649013150148      0197                                 ,S,Simulation application continuation,SAFRP FKKNFKGRW02    2S                            02200N        L03649                                                    
S,AFR,P,G,FKKN,RW20,08858,2010,N07220137,E013334806,,03609,0492,50,148,,,SAFRP FKKNFKGRW20    1088582010 N07220137E013334806               03609049250148      0197                                 ,S,Simulation application continuation,SAFRP FKKNFKGRW20    2S                            20200N        L03609                                                    
S,AFR,P,G,HEBA,RW14L,11155,1380,N30554932,E029410631,,00177,0000,50,148,,,SAFRP HEBAHEGRW14L   1111551380 N30554932E029410631               00177000050148      0000                                 ,S,Simulation application continuation,SAFRP HEBAHEGRW14L   2S                            14285Y        L00177                                                    
S,AFR,P,G,HEBA,RW14R,11155,1380,N30554478,E029405941,,00172,0000,50,148,,,SAFRP HEBAHEGRW14R   1111551380 N30554478E029405941               00172000050148      0000                                 ,S,Simulation application continuation,SAFRP HEBAHEGRW14R   2S                            14284Y        L00172                                                    
S,AFR,P,G,HEBA,RW32L,11155,3180,N30541679,E029421674,,00127,0000,50,148,,,SAFRP HEBAHEGRW32L   1111553180 N30541679E029421674               00127000050148      0000                                 ,S,Simulation application continuation,SAFRP HEBAHEGRW32L   2S                            32285Y        L00127                                                    
S,AFR,P,G,HEBA,RW32R,11155,3180,N30542131,E029422364,,00133,0000,53,148,BIL,,SAFRP HEBAHEGRW32R   1111553180 N30542131E029422364               00133000053148 BIL  0000                                 ,S,Simulation application continuation,SAFRP HEBAHEGRW32R   2S                            32286Y        L00133                                                    
S,AFR,P,G,HLGD,RW18,11811,1780,N31043378,E016353774,,00258,0000,50,148,,,SAFRP HLGDHLGRW18    1118111780 N31043378E016353774               00258000050148      0984                                 ,S,Simulation application continuation,SAFRP HLGDHLGRW18    2S                            18000Y        L00258                                                    
S,AFR,P,G,HLGD,RW36,11811,3580,N31023684,E016353936,,00270,0000,50,148,ISIT,,SAFRP HLGDHLGRW36    1118113580 N31023684E016353936               00270000050148 ISIT 0984                                 ,S,Simulation application continuation,SAFRP HLGDHLGRW36    2S                            36000Y        L00270                                                    
