record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,cont#3_appl_code,cont#3_appl_label,cont#3_1_123,cont#4_appl_code,cont#4_appl_label,cont#4_1_123,cont#5_appl_code,cont#5_appl_label,cont#5_1_123,cont#6_appl_code,cont#6_appl_label,cont#6_1_123
S,AFR,P,,DIKO,DI,V,INF,0118200,,V,1,S,N,A,,N09231530,W005331490,W0040,01213,N,,,,,,,,,,00,,,,,KORHOGO,SAFRP DIKODIVINF0118200 V1S  NA N09231530W005331490W004001213N                          00        KORHOGO                  ,,,SAFRP DIKODIVINF0118200 V2 T  1707002000                                                                                   ,,,,,,,,,,,,
S,AFR,P,,DNEN,DN,V,APP,0123300,,V,1,,N,A,,N06282500,E007333200,W0020,00514,N,,,,,,,,,,00,,,,,ENUGU,SAFRP DNENDNVAPP0123300 V1   NA N06282500E007333200W002000514N                          00        ENUGU                    ,,,SAFRP DNENDNVAPP0123300 V2 T  1706001800                                                                                   ,,,,,,,,,,,,
S,AFR,P,,DNKN,DN,V,APP,0118100,,V,0,,R,A,,N12025300,E008312500,W0010,01562,Y,,,,,,,,,,00,,,,,KANO,SAFRP DNKNDNVAPP0118100 V0   RA N12025300E008312500W001001562Y                          00        KANO                     ,,,,,,,,,,,,,,,
S,AFR,P,,DNKN,DN,V,TWR,0124900,,V,1,,R,A,,N12025300,E008312500,W0010,01562,N,,,,,,,,,,00,,,,,KANO,SAFRP DNKNDNVTWR0124900 V1   RA N12025300E008312500W001001562N                          00        KANO                     ,,,SAFRP DNKNDNVTWR0124900 V2 N  NO SPECIFIC WORKING HOURS                                                                    ,,,,,,,,,,,,
S,AFR,P,,DNPO,DN,V,RDR,0121700,,V,0,,R,A,,N05005600,E006565800,W0020,00091,Y,,,,,,,,,,00,,,,,PORT HARCOURT,SAFRP DNPODNVRDR0121700 V0   RA N05005600E006565800W002000091Y                          00        PORT HARCOURT            ,,,,,,,,,,,,,,,
S,AFR,P,,DNPO,DN,V,TWR,0118900,,V,0,S,N,A,,N05005600,E006565800,W0020,00091,Y,,,,,,,,,,00,,,,,PORT HARCOURT,SAFRP DNPODNVTWR0118900 V0 S NA N05005600E006565800W002000091Y                          00        PORT HARCOURT            ,,,,,,,,,,,,,,,
S,AFR,P,,FBSP,FB,V,GND,0121950,,V,1,,N,A,,S22032376,E027491365,W0120,02925,N,,,,,,,,,,00,,,,,SELEBI,SAFRP FBSPFBVGND0121950 V1   NA S22032376E027491365W012002925N                          00        SELEBI                   ,,,"SAFRP FBSPFBVGND0121950 V2 N  MON - FRI 0530-1045Z, 1145-1430Z.                                                            ",,,,,,,,,,,,
S,AFR,P,,FCOD,FC,V,INF,0118700,,V,1,S,N,A,,S01131700,E015544900,W0000,01073,N,,,,,,,,,,00,,,,,OLLOMBO,SAFRP FCODFCVINF0118700 V1S  NA S01131700E015544900W000001073N                          00        OLLOMBO                  ,,,"SAFRP FCODFCVINF0118700 V2 N  MON-SUN 0600-1800Z, O/T O/R                                                                  ",,,,,,,,,,,,
S,AFR,P,,FCOD,FC,V,INF,0119100,,V,1,S,N,A,,S01131700,E015544900,W0000,01073,N,,,,,,,,,,00,,,,,OLLOMBO,SAFRP FCODFCVINF0119100 V1S  NA S01131700E015544900W000001073N                          00        OLLOMBO                  ,,,"SAFRP FCODFCVINF0119100 V2 N  MON-SUN 0600-1800Z, O/T O/R                                                                  ",,,,,,,,,,,,
S,AFR,P,,FHSH,FH,V,GND,0118200,,V,1,,N,A,,S15572930,W005384545,W0160,01017,N,,,,,,,,,,00,,,,,ST HELENA,SAFRP FHSHFHVGND0118200 V1   NA S15572930W005384545W016001017N                          00        ST HELENA                ,,,SAFRP FHSHFHVGND0118200 V2 T  240800160005120016000604001600                                                               ,,,,,,,,,,,,
