record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EEU,D,,,,,ADL,UR,11270,VDHW,N43271610,E039574360,,N43271610,E039574360,E0070,00128,2,,226,WGE,SOCHI,SEEUD        ADL   UR111270VDHW N43271610E039574360    N43271610E039574360E0070001282  226WGESOCHI                         ,S,Simulation application continuation,SEEUD        ADL   UR2S    UN                                             E007400128                                       
S,EEU,D,,,,,AGZ,UA,11360,VDHW,N47555200,E080265900,,N47555200,E080265900,E0060,02200,2,,,WGE,AYAGUZ,SEEUD        AGZ   UA111360VDHW N47555200E080265900    N47555200E080265900E0060022002     WGEAYAGUZ                        ,S,Simulation application continuation,SEEUD        AGZ   UA2S    UY                                             E006002200                                       
S,EEU,D,,,,,AKB,UA,11340,VDH,N50154830,E057105480,,N50154830,E057105480,E0110,00700,2,,407,WGE,AKTOBE,SEEUD        AKB   UA111340VDH  N50154830E057105480    N50154830E057105480E0110007002  407WGEAKTOBE                        ,S,Simulation application continuation,SEEUD        AKB   UA2S    UN                                             E011000700                                       
S,EEU,D,,,,,AKD,ZL,11380,VDHW,N32451200,E108554800,,N32451200,E108554800,W0040,01332,2,,552,WGE,ANKANGFUQIANGDONG,SEEUD        AKD   ZL111380VDHW N32451200E108554800    N32451200E108554800W0040013322  552WGEANKANGFUQIANGDONG             ,S,Simulation application continuation,SEEUD        AKD   ZL2S    UN                                             W003901332                                       
S,EEU,D,,,,,AKS,ZW,11510,VDHW,N41154200,E080170600,,N41154200,E080170600,E0040,03888,2,,,WGE,AKSU,SEEUD        AKS   ZW111510VDHW N41154200E080170600    N41154200E080170600E0040038882     WGEAKSU                          ,S,Simulation application continuation,SEEUD        AKS   ZW2S    UY                                             E0038                                            
S,EEU,D,,,,,AKT,UA,11330,VDHW,N43522030,E051035190,,N43522030,E051035190,E0080,00100,2,,482,WGE,AKTAU,SEEUD        AKT   UA111330VDHW N43522030E051035190    N43522030E051035190E0080001002  482WGEAKTAU                         ,S,Simulation application continuation,SEEUD        AKT   UA2S    UN                                             E007800100                                       
S,EEU,D,,,,,AMI,EE,11530,VTH,N59160180,E024144850,,N59160180,E024144850,E0090,00100,2,,478,WGE,AMARI,SEEUD        AMI   EE111530VTH  N59160180E024144850    N59160180E024144850E0090001002  478WGEAMARI                         ,S,Simulation application continuation,SEEUD        AMI   EE2S    UN                                             E009700100                                       
S,EEU,D,,,,,AND,UE,11380,VDHW,N62472800,E136511300,,N62472800,E136511300,W0160,00984,2,,503,WGE,TEPLYY KLYUCH,SEEUD        AND   UE111380VDHW N62472800E136511300    N62472800E136511300W0160009842  503WGETEPLYY KLYUCH                 ,S,Simulation application continuation,SEEUD        AND   UE2S    UN                                             W016200984                                       
S,EEU,D,,,,,AND,ZS,11480,VDHW,N30152400,E121131800,,N30152400,E121131800,W0060,00105,2,,522,WGE,ANDONG,SEEUD        AND   ZS111480VDHW N30152400E121131800    N30152400E121131800W0060001052  522WGEANDONG                        ,S,Simulation application continuation,SEEUD        AND   ZS2S    UN                                             W006200105                                       
S,EEU,D,,,,,ARD,LR,10900,VDH,N46110270,E021083700,,N46110270,E021083700,E0050,00400,2,,396,WGE,ARAD,SEEUD        ARD   LR110900VDH  N46110270E021083700    N46110270E021083700E0050004002  396WGEARAD                          ,S,Simulation application continuation,SEEUD        ARD   LR2S    UU                                             E0058                                            
