record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EEU,D,,,,,CHW,ZL,11450,VDHW,N39511800,E098210000,,N39511800,E098210000,W0010,05115,2,,,WGE,JIAYUGUAN,SEEUD        CHW   ZL111450VDHW N39511800E098210000    N39511800E098210000W0010051152     WGEJIAYUGUAN                     ,S,Simulation application continuation,SEEUD        CHW   ZL2S    UN                                             W001405115                                       
S,EEU,D,,,,,GMM,ZU,11250,VDHW,N29254800,E094271800,,N29254800,E094271800,W0000,09604,2,,518,WGE,GAMA,SEEUD        GMM   ZU111250VDHW N29254800E094271800    N29254800E094271800W0000096042  518WGEGAMA                          ,S,Simulation application continuation,SEEUD        GMM   ZU2S    UN                                             W000609604                                       
S,EEU,D,,,,,GRU,EP,11460,VDHW,N53311600,E018465300,,N53311600,E018465300,E0040,00300,2,,331,WGE,GRUDZIADZ,SEEUD        GRU   EP111460VDHW N53311600E018465300    N53311600E018465300E0040003002  331WGEGRUDZIADZ                     ,S,Simulation application continuation,SEEUD        GRU   EP2S    UN                                             E006600300                                       
S,EEU,D,,,,,IOD,LR,10950,DT,,,IOD,N47014930,E021541990,,00500,0,,101,WGE,ORADEA,SEEUD        IOD   LR110950 DT                     IOD N47014930E021541990     005000  101WGEORADEA                        ,S,Simulation application continuation,SEEUD        IOD   LR2S    UN                                             E0061                                            
S,EEU,D,,,,,MZL,ZY,11310,VDHW,N49194200,E117384200,,N49194200,E117384200,W0100,02231,2,,273,WGE,MANZHOULI,SEEUD        MZL   ZY111310VDHW N49194200E117384200    N49194200E117384200W0100022312  273WGEMANZHOULI                     ,S,Simulation application continuation,SEEUD        MZL   ZY2S    UN                                             W010302231                                       
S,EEU,D,,,,,QIY,ZL,11340,VDHW,N35474800,E107355400,,N35474800,E107355400,W0030,04629,2,,513,WGE,QINGYANG,SEEUD        QIY   ZL111340VDHW N35474800E107355400    N35474800E107355400W0030046292  513WGEQINGYANG                      ,S,Simulation application continuation,SEEUD        QIY   ZL2S    UN                                             W004004629                                       
S,EEU,D,,,,,SL,US,11150,DH,,,SL,N53533600,E051110500,,00394,2,,492,WGE,SUKHODOL,SEEUD        SL    US111150 DH                     SL  N53533600E051110500     003942  492WGESUKHODOL                      ,S,Simulation application continuation,SEEUD        SL    US2S    UN                                             E0130                                            
S,EEU,D,,,,,URG,UT,11420,VDUW,N41344410,E060391790,,N41344410,E060391790,E0060,00322,2,,417,WGE,URGENCH,SEEUD        URG   UT111420VDUW N41344410E060391790    N41344410E060391790E0060003222  417WGEURGENCH                       ,S,Simulation application continuation,SEEUD        URG   UT2S    UN                                             E006500322                                       
S,EEU,D,,,,,WDT,UH,10820,DH,,,WDT,N43243070,E132103000,,00059,2,,453,WGE,KNEVICHI (VLADIVOSTOK),SEEUD        WDT   UH110820 DH                     WDT N43243070E132103000     000592  453WGEKNEVICHI (VLADIVOSTOK)        ,S,Simulation application continuation,SEEUD        WDT   UH2S    UN                                             W0109                                            
S,EEU,D,,,,,ZAO,VM,11720,VDHW,N22144200,E113364200,,N22144200,E113364200,W0030,00155,2,,,WGE,JIUZHOU,SEEUD        ZAO   VM111720VDHW N22144200E113364200    N22144200E113364200W0030001552     WGEJIUZHOU                       ,S,Simulation application continuation,SEEUD        ZAO   VM2S    UN                                             W003200155                                       
S,EEU,D,,URKG,UR,,IGN,UR,11010,ITDN,,,IGN,N44341630,E038002750,,00131,0,02,208,WGE,GELENDZHIK,SEEUD URKGUR IGN   UR111010 ITDN                   IGN N44341630E038002750     00131002208WGEGELENDZHIK                    ,S,Simulation application continuation,SEEUD URKGUR IGN   UR2S    UN                                             E007600131                                       
S,EEU,D,,UTSA,UT,,IHG,UT,10930,ITDN,,,IHG,N40064592,E065090875,,01200,0,02,,WGE,NAVOI,SEEUD UTSAUT IHG   UT110930 ITDN                   IHG N40064592E065090875     01200002   WGENAVOI                         ,S,Simulation application continuation,SEEUD UTSAUT IHG   UT2S    UN                                             E005601200                                       
S,EEU,D,,UTSA,UT,,INL,UT,10870,ITDN,,,INL,N40071046,E065112721,,01200,0,02,342,WGE,NAVOI,SEEUD UTSAUT INL   UT110870 ITDN                   INL N40071046E065112721     01200002342WGENAVOI                         ,S,Simulation application continuation,SEEUD UTSAUT INL   UT2S    UN                                             E005601200                                       
S,EEU,D,,UTSS,UT,,IMZ,UT,10950,ITDN,,,IMZ,N39421393,E066580413,,02200,0,02,,WGE,SAMARKAND,SEEUD UTSSUT IMZ   UT110950 ITDN                   IMZ N39421393E066580413     02200002   WGESAMARKAND                     ,S,Simulation application continuation,SEEUD UTSSUT IMZ   UT2S    UN                                             E005302200                                       
