record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EEU,D,,,,,CHW,ZL,11450,VDHW,N39511800,E098210000,,N39511800,E098210000,W0010,05115,2,,,WGE,JIAYUGUAN,SEEUD        CHW   ZL111450VDHW N39511800E098210000    N39511800E098210000W0010051152     WGEJIAYUGUAN                     ,S,Simulation application continuation,SEEUD        CHW   ZL2S    UN                                             W001405115                                       
S,EEU,D,,,,,GMM,ZU,11250,VDHW,N29254800,E094271800,,N29254800,E094271800,W0000,09604,2,,518,WGE,GAMA,SEEUD        GMM   ZU111250VDHW N29254800E094271800    N29254800E094271800W0000096042  518WGEGAMA                          ,S,Simulation application continuation,SEEUD        GMM   ZU2S    UN                                             W000609604                                       
S,EEU,D,,,,,GRU,EP,11460,VDHW,N53311600,E018465300,,N53311600,E018465300,E0040,00300,2,,331,WGE,GRUDZIADZ,SEEUD        GRU   EP111460VDHW N53311600E018465300    N53311600E018465300E0040003002  331WGEGRUDZIADZ                     ,S,Simulation application continuation,SEEUD        GRU   EP2S    UN                                             E006600300                                       
S,EEU,D,,,,,MZL,ZY,11310,VDHW,N49194200,E117384200,,N49194200,E117384200,W0100,02231,2,,273,WGE,MANZHOULI,SEEUD        MZL   ZY111310VDHW N49194200E117384200    N49194200E117384200W0100022312  273WGEMANZHOULI                     ,S,Simulation application continuation,SEEUD        MZL   ZY2S    UN                                             W010302231                                       
S,EEU,D,,,,,QIY,ZL,11340,VDHW,N35474800,E107355400,,N35474800,E107355400,W0030,04629,2,,513,WGE,QINGYANG,SEEUD        QIY   ZL111340VDHW N35474800E107355400    N35474800E107355400W0030046292  513WGEQINGYANG                      ,S,Simulation application continuation,SEEUD        QIY   ZL2S    UN                                             W004004629                                       
S,EEU,D,,,,,URG,UT,11420,VDUW,N41344410,E060391790,,N41344410,E060391790,E0060,00322,2,,417,WGE,URGENCH,SEEUD        URG   UT111420VDUW N41344410E060391790    N41344410E060391790E0060003222  417WGEURGENCH                       ,S,Simulation application continuation,SEEUD        URG   UT2S    UN                                             E006500322                                       
S,EEU,D,,,,,ZAO,VM,11720,VDHW,N22144200,E113364200,,N22144200,E113364200,W0030,00155,2,,,WGE,JIUZHOU,SEEUD        ZAO   VM111720VDHW N22144200E113364200    N22144200E113364200W0030001552     WGEJIUZHOU                       ,S,Simulation application continuation,SEEUD        ZAO   VM2S    UN                                             W003200155                                       
S,EUR,D,,,,,GSY,EB,11570,VDHA,N50271410,E004262900,,N50271410,E004262900,E0010,00600,2,,275,WGE,GOSLY (CHARLEROI),SEURD        GSY   EB111570VDHA N50271410E004262900    N50271410E004262900E0010006002  275WGEGOSLY (CHARLEROI)             ,S,Simulation application continuation,SEURD        GSY   EB2S    UN                                             E0024                                            
S,EUR,D,,,,,LNE,EF,11230,VDH,N62251483,E025372403,,N62251483,E025372403,E0100,00696,2,,337,WGE,LUONET (JYVASKYLA),SEURD        LNE   EF111230VDH  N62251483E025372403    N62251483E025372403E0100006962  337WGELUONET (JYVASKYLA)            ,S,Simulation application continuation,SEURD        LNE   EF2S    UN                                             E011300696                                       
S,EUR,D,,,,,MTR,ED,11000,V HW,N50163459,E008505505,,,,E0020,,2,,,WGE,METRO,SEURD        MTR   ED111000V HW N50163459E008505505                       E0020     2     WGEMETRO                         ,S,Simulation application continuation,SEURD        MTR   ED2S    UN                                             E003600633                                       
S,EUR,D,,,,,ROI,EF,11770,VDH,N66334514,E025491347,,N66334514,E025491347,E0130,00661,2,,584,WGE,ROVANI (ROVANIEMI),SEURD        ROI   EF111770VDH  N66334514E025491347    N66334514E025491347E0130006612  584WGEROVANI (ROVANIEMI)            ,S,Simulation application continuation,SEURD        ROI   EF2S    UN                                             E013200661                                       
S,MES,D,,,,,KMC,OE,11590,VTHW,N27525010,E045332050,,N27525010,E045332050,E0040,01400,2,,583,WGE,KING SAUD AB (HAFR AL BATIN),SMESD        KMC   OE111590VTHW N27525010E045332050    N27525010E045332050E0040014002  583WGEKING SAUD AB (HAFR AL BATIN)  ,S,Simulation application continuation,SMESD        KMC   OE2S    UN                                             E0037                                            
